WD08CD,WD08NM,PCO08CD,PCO08NM,
00BLFX,Astley Bridge,5HQ,Bolton,
00BLFY,Bradshaw,5HQ,Bolton,
00BLFZ,Breightmet,5HQ,Bolton,
00BLGA,Bromley Cross,5HQ,Bolton,
00BLGB,Crompton,5HQ,Bolton,
00BLGC,Farnworth,5HQ,Bolton,
00BLGD,Great Lever,5HQ,Bolton,
00BLGE,Halliwell,5HQ,Bolton,
00BLGF,Harper Green,5HQ,Bolton,
00BLGG,Heaton and Lostock,5HQ,Bolton,
00BLGH,Horwich and Blackrod,5HQ,Bolton,
00BLGJ,Horwich North East,5HQ,Bolton,
00BLGK,Hulton,5HQ,Bolton,
00BLGL,Kearsley,5HQ,Bolton,
00BLGM,Little Lever and Darcy Lever,5HQ,Bolton,
00BLGN,Rumworth,5HQ,Bolton,
00BLGP,Smithills,5HQ,Bolton,
00BLGQ,Tonge with the Haulgh,5HQ,Bolton,
00BLGR,Westhoughton North and Chew Moor,5HQ,Bolton,
00BLGS,Westhoughton South,5HQ,Bolton,
00BMFS,Besses,5JX,Bury,
00BMFT,Church,5JX,Bury,
00BMFU,East,5JX,Bury,
00BMFW,Elton,5JX,Bury,
00BMFX,Holyrood,5JX,Bury,
00BMFY,Moorside,5JX,Bury,
00BMFZ,North Manor,5JX,Bury,
00BMGA,Pilkington Park,5JX,Bury,
00BMGB,Radcliffe East,5JX,Bury,
00BMGC,Radcliffe North,5JX,Bury,
00BMGD,Radcliffe West,5JX,Bury,
00BMGE,Ramsbottom,5JX,Bury,
00BMGF,Redvales,5JX,Bury,
00BMGG,St Mary's,5JX,Bury,
00BMGH,Sedgley,5JX,Bury,
00BMGJ,Tottington,5JX,Bury,
00BMGK,Unsworth,5JX,Bury,
00BNGL,Ancoats and Clayton,5NT,Manchester,
00BNGM,Ardwick,5NT,Manchester,
00BNGN,Baguley,5NT,Manchester,
00BNGP,Bradford,5NT,Manchester,
00BNGQ,Brooklands,5NT,Manchester,
00BNGR,Burnage,5NT,Manchester,
00BNGS,Charlestown,5NT,Manchester,
00BNGT,Cheetham,5NT,Manchester,
00BNGU,Chorlton,5NT,Manchester,
00BNGW,Chorlton Park,5NT,Manchester,
00BNGX,City Centre,5NT,Manchester,
00BNGY,Crumpsall,5NT,Manchester,
00BNGZ,Didsbury East,5NT,Manchester,
00BNHA,Didsbury West,5NT,Manchester,
00BNHB,Fallowfield,5NT,Manchester,
00BNHC,Gorton North,5NT,Manchester,
00BNHD,Gorton South,5NT,Manchester,
00BNHE,Harpurhey,5NT,Manchester,
00BNHF,Higher Blackley,5NT,Manchester,
00BNHG,Hulme,5NT,Manchester,
00BNHH,Levenshulme,5NT,Manchester,
00BNHJ,Longsight,5NT,Manchester,
00BNHK,Miles Platting and Newton Heath,5NT,Manchester,
00BNHL,Moss Side,5NT,Manchester,
00BNHM,Moston,5NT,Manchester,
00BNHN,Northenden,5NT,Manchester,
00BNHP,Old Moat,5NT,Manchester,
00BNHQ,Rusholme,5NT,Manchester,
00BNHR,Sharston,5NT,Manchester,
00BNHS,Whalley Range,5NT,Manchester,
00BNHT,Withington,5NT,Manchester,
00BNHU,Woodhouse Park,5NT,Manchester,
00BPFX,Alexandra,5J5,Oldham,
00BPFY,Chadderton Central,5J5,Oldham,
00BPFZ,Chadderton North,5J5,Oldham,
00BPGA,Chadderton South,5J5,Oldham,
00BPGB,Coldhurst,5J5,Oldham,
00BPGC,Crompton,5J5,Oldham,
00BPGD,Failsworth East,5J5,Oldham,
00BPGE,Failsworth West,5J5,Oldham,
00BPGF,Hollinwood,5J5,Oldham,
00BPGG,Medlock Vale,5J5,Oldham,
00BPGH,Royton North,5J5,Oldham,
00BPGJ,Royton South,5J5,Oldham,
00BPGK,Saddleworth North,5J5,Oldham,
00BPGL,Saddleworth South,5J5,Oldham,
00BPGM,Saddleworth West and Lees,5J5,Oldham,
00BPGN,St James',5J5,Oldham,
00BPGP,St Mary's,5J5,Oldham,
00BPGQ,Shaw,5J5,Oldham,
00BPGR,Waterhead,5J5,Oldham,
00BPGS,Werneth,5J5,Oldham,
00BQFX,Balderstone and Kirkholt,5NQ,"Heywood, Middleton and Rochdale",
00BQFY,Bamford,5NQ,"Heywood, Middleton and Rochdale",
00BQFZ,Castleton,5NQ,"Heywood, Middleton and Rochdale",
00BQGA,Central Rochdale,5NQ,"Heywood, Middleton and Rochdale",
00BQGB,East Middleton,5NQ,"Heywood, Middleton and Rochdale",
00BQGC,Healey,5NQ,"Heywood, Middleton and Rochdale",
00BQGD,Hopwood Hall,5NQ,"Heywood, Middleton and Rochdale",
00BQGE,Kingsway,5NQ,"Heywood, Middleton and Rochdale",
00BQGF,Littleborough Lakeside,5NQ,"Heywood, Middleton and Rochdale",
00BQGG,Milkstone and Deeplish,5NQ,"Heywood, Middleton and Rochdale",
00BQGH,Milnrow and Newhey,5NQ,"Heywood, Middleton and Rochdale",
00BQGJ,Norden,5NQ,"Heywood, Middleton and Rochdale",
00BQGK,North Heywood,5NQ,"Heywood, Middleton and Rochdale",
00BQGL,North Middleton,5NQ,"Heywood, Middleton and Rochdale",
00BQGM,Smallbridge and Firgrove,5NQ,"Heywood, Middleton and Rochdale",
00BQGN,South Middleton,5NQ,"Heywood, Middleton and Rochdale",
00BQGP,Spotland and Falinge,5NQ,"Heywood, Middleton and Rochdale",
00BQGQ,Wardle and West Littleborough,5NQ,"Heywood, Middleton and Rochdale",
00BQGR,West Heywood,5NQ,"Heywood, Middleton and Rochdale",
00BQGS,West Middleton,5NQ,"Heywood, Middleton and Rochdale",
00BRFX,Barton,5F5,Salford,
00BRFY,Boothstown and Ellenbrook,5F5,Salford,
00BRFZ,Broughton,5F5,Salford,
00BRGA,Cadishead,5F5,Salford,
00BRGB,Claremont,5F5,Salford,
00BRGC,Eccles,5F5,Salford,
00BRGD,Irlam,5F5,Salford,
00BRGE,Irwell Riverside,5F5,Salford,
00BRGF,Kersal,5F5,Salford,
00BRGG,Langworthy,5F5,Salford,
00BRGH,Little Hulton,5F5,Salford,
00BRGJ,Ordsall,5F5,Salford,
00BRGK,Pendlebury,5F5,Salford,
00BRGL,Swinton North,5F5,Salford,
00BRGM,Swinton South,5F5,Salford,
00BRGN,Walkden North,5F5,Salford,
00BRGP,Walkden South,5F5,Salford,
00BRGQ,Weaste and Seedley,5F5,Salford,
00BRGR,Winton,5F5,Salford,
00BRGS,Worsley,5F5,Salford,
00BSFY,Bramhall North,5F7,Stockport,
00BSFZ,Bramhall South,5F7,Stockport,
00BSGA,Bredbury and Woodley,5F7,Stockport,
00BSGB,Bredbury Green and Romiley,5F7,Stockport,
00BSGC,Brinnington and Central,5F7,Stockport,
00BSGD,Cheadle and Gatley,5F7,Stockport,
00BSGE,Cheadle Hulme North,5F7,Stockport,
00BSGF,Cheadle Hulme South,5F7,Stockport,
00BSGG,Davenport and Cale Green,5F7,Stockport,
00BSGH,Edgeley and Cheadle Heath,5F7,Stockport,
00BSGJ,Hazel Grove,5F7,Stockport,
00BSGK,Heald Green,5F7,Stockport,
00BSGL,Heatons North,5F7,Stockport,
00BSGM,Heatons South,5F7,Stockport,
00BSGN,Manor,5F7,Stockport,
00BSGP,Marple North,5F7,Stockport,
00BSGQ,Marple South,5F7,Stockport,
00BSGR,Offerton,5F7,Stockport,
00BSGS,Reddish North,5F7,Stockport,
00BSGT,Reddish South,5F7,Stockport,
00BSGU,Stepping Hill,5F7,Stockport,
00BTFW,Ashton Hurst,5LH,Tameside and Glossop,
00BTFX,Ashton St Michael's,5LH,Tameside and Glossop,
00BTFY,Ashton Waterloo,5LH,Tameside and Glossop,
00BTFZ,Audenshaw,5LH,Tameside and Glossop,
00BTGA,Denton North East,5LH,Tameside and Glossop,
00BTGB,Denton South,5LH,Tameside and Glossop,
00BTGC,Denton West,5LH,Tameside and Glossop,
00BTGD,Droylsden East,5LH,Tameside and Glossop,
00BTGE,Droylsden West,5LH,Tameside and Glossop,
00BTGF,Dukinfield,5LH,Tameside and Glossop,
00BTGG,Dukinfield Stalybridge,5LH,Tameside and Glossop,
00BTGH,Hyde Godley,5LH,Tameside and Glossop,
00BTGJ,Hyde Newton,5LH,Tameside and Glossop,
00BTGK,Hyde Werneth,5LH,Tameside and Glossop,
00BTGL,Longdendale,5LH,Tameside and Glossop,
00BTGM,Mossley,5LH,Tameside and Glossop,
00BTGN,St Peter's,5LH,Tameside and Glossop,
00BTGP,Stalybridge North,5LH,Tameside and Glossop,
00BTGQ,Stalybridge South,5LH,Tameside and Glossop,
00BUFY,Altrincham,5NR,Trafford,
00BUFZ,Ashton upon Mersey,5NR,Trafford,
00BUGA,Bowdon,5NR,Trafford,
00BUGB,Broadheath,5NR,Trafford,
00BUGC,Brooklands,5NR,Trafford,
00BUGD,Bucklow-St Martins,5NR,Trafford,
00BUGE,Clifford,5NR,Trafford,
00BUGF,Davyhulme East,5NR,Trafford,
00BUGG,Davyhulme West,5NR,Trafford,
00BUGH,Flixton,5NR,Trafford,
00BUGJ,Gorse Hill,5NR,Trafford,
00BUGK,Hale Barns,5NR,Trafford,
00BUGL,Hale Central,5NR,Trafford,
00BUGM,Longford,5NR,Trafford,
00BUGN,Priory,5NR,Trafford,
00BUGP,St Mary's,5NR,Trafford,
00BUGQ,Sale Moor,5NR,Trafford,
00BUGR,Stretford,5NR,Trafford,
00BUGS,Timperley,5NR,Trafford,
00BUGT,Urmston,5NR,Trafford,
00BUGU,Village,5NR,Trafford,
00BWGB,Abram,5HG,"Ashton, Leigh and Wigan",
00BWGC,Ashton,5HG,"Ashton, Leigh and Wigan",
00BWGD,Aspull New Springs Whelley,5HG,"Ashton, Leigh and Wigan",
00BWGE,Astley Mosley Common,5HG,"Ashton, Leigh and Wigan",
00BWGF,Atherleigh,5HG,"Ashton, Leigh and Wigan",
00BWGG,Atherton,5HG,"Ashton, Leigh and Wigan",
00BWGH,Bryn,5HG,"Ashton, Leigh and Wigan",
00BWGJ,Douglas,5HG,"Ashton, Leigh and Wigan",
00BWGK,Golborne and Lowton West,5HG,"Ashton, Leigh and Wigan",
00BWGL,Hindley,5HG,"Ashton, Leigh and Wigan",
00BWGM,Hindley Green,5HG,"Ashton, Leigh and Wigan",
00BWGN,Ince,5HG,"Ashton, Leigh and Wigan",
00BWGP,Leigh East,5HG,"Ashton, Leigh and Wigan",
00BWGQ,Leigh South,5HG,"Ashton, Leigh and Wigan",
00BWGR,Leigh West,5HG,"Ashton, Leigh and Wigan",
00BWGS,Lowton East,5HG,"Ashton, Leigh and Wigan",
00BWGT,Orrell,5HG,"Ashton, Leigh and Wigan",
00BWGU,Pemberton,5HG,"Ashton, Leigh and Wigan",
00BWGW,Shevington with Lower Ground,5HG,"Ashton, Leigh and Wigan",
00BWGX,Standish with Langtree,5HG,"Ashton, Leigh and Wigan",
00BWGY,Tyldesley,5HG,"Ashton, Leigh and Wigan",
00BWGZ,Wigan Central,5HG,"Ashton, Leigh and Wigan",
00BWHA,Wigan West,5HG,"Ashton, Leigh and Wigan",
00BWHB,Winstanley,5HG,"Ashton, Leigh and Wigan",
00BWHC,Worsley Mesnes,5HG,"Ashton, Leigh and Wigan",
00BXFZ,Cherryfield,5J4,Knowsley,
00BXGA,Halewood North,5J4,Knowsley,
00BXGB,Halewood South,5J4,Knowsley,
00BXGC,Halewood West,5J4,Knowsley,
00BXGD,Kirkby Central,5J4,Knowsley,
00BXGE,Longview,5J4,Knowsley,
00BXGF,Northwood,5J4,Knowsley,
00BXGG,Page Moss,5J4,Knowsley,
00BXGH,Park,5J4,Knowsley,
00BXGJ,Prescot East,5J4,Knowsley,
00BXGK,Prescot West,5J4,Knowsley,
00BXGL,Roby,5J4,Knowsley,
00BXGM,St Bartholomews,5J4,Knowsley,
00BXGN,St Gabriels,5J4,Knowsley,
00BXGP,St Michaels,5J4,Knowsley,
00BXGQ,Shevington,5J4,Knowsley,
00BXGR,Stockbridge,5J4,Knowsley,
00BXGS,Swanside,5J4,Knowsley,
00BXGT,Whiston North,5J4,Knowsley,
00BXGU,Whiston South,5J4,Knowsley,
00BXGW,Whitefield,5J4,Knowsley,
00BYGL,Allerton and Hunts Cross,5NL,Liverpool,
00BYGM,Anfield,5NL,Liverpool,
00BYGN,Belle Vale,5NL,Liverpool,
00BYGP,Central,5NL,Liverpool,
00BYGQ,Childwall,5NL,Liverpool,
00BYGR,Church,5NL,Liverpool,
00BYGS,Clubmoor,5NL,Liverpool,
00BYGT,County,5NL,Liverpool,
00BYGU,Cressington,5NL,Liverpool,
00BYGW,Croxteth,5NL,Liverpool,
00BYGX,Everton,5NL,Liverpool,
00BYGY,Fazakerley,5NL,Liverpool,
00BYGZ,Greenbank,5NL,Liverpool,
00BYHA,Kensington and Fairfield,5NL,Liverpool,
00BYHB,Kirkdale,5NL,Liverpool,
00BYHC,Knotty Ash,5NL,Liverpool,
00BYHD,Mossley Hill,5NL,Liverpool,
00BYHE,Norris Green,5NL,Liverpool,
00BYHF,Old Swan,5NL,Liverpool,
00BYHG,Picton,5NL,Liverpool,
00BYHH,Princes Park,5NL,Liverpool,
00BYHJ,Riverside,5NL,Liverpool,
00BYHK,St Michael's,5NL,Liverpool,
00BYHL,Speke-Garston,5NL,Liverpool,
00BYHM,Tuebrook and Stoneycroft,5NL,Liverpool,
00BYHN,Warbreck,5NL,Liverpool,
00BYHP,Wavertree,5NL,Liverpool,
00BYHQ,West Derby,5NL,Liverpool,
00BYHR,Woolton,5NL,Liverpool,
00BYHS,Yew Tree,5NL,Liverpool,
00BZFU,Billinge and Seneley Green,5NM,Halton and St Helens,
00BZFW,Blackbrook,5NM,Halton and St Helens,
00BZFX,Bold,5NM,Halton and St Helens,
00BZFY,Earlestown,5NM,Halton and St Helens,
00BZFZ,Eccleston,5NM,Halton and St Helens,
00BZGA,Haydock,5NM,Halton and St Helens,
00BZGB,Moss Bank,5NM,Halton and St Helens,
00BZGC,Newton,5NM,Halton and St Helens,
00BZGD,Parr,5NM,Halton and St Helens,
00BZGE,Rainford,5NM,Halton and St Helens,
00BZGF,Rainhill,5NM,Halton and St Helens,
00BZGG,Sutton,5NM,Halton and St Helens,
00BZGH,Thatto Heath,5NM,Halton and St Helens,
00BZGJ,Town Centre,5NM,Halton and St Helens,
00BZGK,West Park,5NM,Halton and St Helens,
00BZGL,Windle,5NM,Halton and St Helens,
00CAGZ,Ainsdale,5NJ,Sefton,
00CAHA,Birkdale,5NJ,Sefton,
00CAHB,Blundellsands,5NJ,Sefton,
00CAHC,Cambridge,5NJ,Sefton,
00CAHD,Church,5NJ,Sefton,
00CAHE,Derby,5NJ,Sefton,
00CAHF,Duke's,5NJ,Sefton,
00CAHG,Ford,5NJ,Sefton,
00CAHH,Harington,5NJ,Sefton,
00CAHJ,Kew,5NJ,Sefton,
00CAHK,Linacre,5NJ,Sefton,
00CAHL,Litherland,5NJ,Sefton,
00CAHM,Manor,5NJ,Sefton,
00CAHN,Meols,5NJ,Sefton,
00CAHP,Molyneux,5NJ,Sefton,
00CAHQ,Netherton and Orrell,5NJ,Sefton,
00CAHR,Norwood,5NJ,Sefton,
00CAHS,Park,5NJ,Sefton,
00CAHT,Ravenmeols,5NJ,Sefton,
00CAHU,St Oswald,5NJ,Sefton,
00CAHW,Sudell,5NJ,Sefton,
00CAHX,Victoria,5NJ,Sefton,
00CBFZ,Bebington,5NK,Wirral,
00CBGA,Bidston and St James,5NK,Wirral,
00CBGB,Birkenhead and Tranmere,5NK,Wirral,
00CBGC,Bromborough,5NK,Wirral,
00CBGD,Clatterbridge,5NK,Wirral,
00CBGE,Claughton,5NK,Wirral,
00CBGF,Eastham,5NK,Wirral,
00CBGG,"Greasby, Frankby and Irby",5NK,Wirral,
00CBGH,Heswall,5NK,Wirral,
00CBGJ,Hoylake and Meols,5NK,Wirral,
00CBGK,Leasowe and Moreton East,5NK,Wirral,
00CBGL,Liscard,5NK,Wirral,
00CBGM,Moreton West and Saughall Massie,5NK,Wirral,
00CBGN,New Brighton,5NK,Wirral,
00CBGP,Oxton,5NK,Wirral,
00CBGQ,Pensby and Thingwall,5NK,Wirral,
00CBGR,Prenton,5NK,Wirral,
00CBGS,Rock Ferry,5NK,Wirral,
00CBGT,Seacombe,5NK,Wirral,
00CBGU,Upton,5NK,Wirral,
00CBGW,Wallasey,5NK,Wirral,
00CBGX,West Kirby and Thurstaston,5NK,Wirral,
00CCFZ,Central,5JE,Barnsley,
00CCGA,Cudworth,5JE,Barnsley,
00CCGB,Darfield,5JE,Barnsley,
00CCGC,Darton East,5JE,Barnsley,
00CCGD,Darton West,5JE,Barnsley,
00CCGE,Dearne North,5JE,Barnsley,
00CCGF,Dearne South,5JE,Barnsley,
00CCGG,Dodworth,5JE,Barnsley,
00CCGH,Hoyland Milton,5JE,Barnsley,
00CCGJ,Kingstone,5JE,Barnsley,
00CCGK,Monk Bretton,5JE,Barnsley,
00CCGL,North East,5JE,Barnsley,
00CCGM,Old Town,5JE,Barnsley,
00CCGN,Penistone East,5JE,Barnsley,
00CCGP,Penistone West,5JE,Barnsley,
00CCGQ,Rockingham,5JE,Barnsley,
00CCGR,Royston,5JE,Barnsley,
00CCGS,St Helens,5JE,Barnsley,
00CCGT,Stairfoot,5JE,Barnsley,
00CCGU,Wombwell,5JE,Barnsley,
00CCGW,Worsbrough,5JE,Barnsley,
00CEFY,Adwick,5N5,Doncaster,
00CEFZ,Armthorpe,5N5,Doncaster,
00CEGA,Askern Spa,5N5,Doncaster,
00CEGB,Balby,5N5,Doncaster,
00CEGC,Bentley,5N5,Doncaster,
00CEGD,Bessacarr and Cantley,5N5,Doncaster,
00CEGE,Central,5N5,Doncaster,
00CEGF,Conisbrough and Denaby,5N5,Doncaster,
00CEGG,"Edenthorpe, Kirk Sandall and Barnby Dun",5N5,Doncaster,
00CEGH,Edlington and Warmsworth,5N5,Doncaster,
00CEGJ,Finningley,5N5,Doncaster,
00CEGK,Great North Road,5N5,Doncaster,
00CEGL,Hatfield,5N5,Doncaster,
00CEGM,Mexborough,5N5,Doncaster,
00CEGN,Rossington,5N5,Doncaster,
00CEGP,Sprotbrough,5N5,Doncaster,
00CEGQ,Stainforth and Moorends,5N5,Doncaster,
00CEGR,Thorne,5N5,Doncaster,
00CEGS,Torne Valley,5N5,Doncaster,
00CEGT,Town Moor,5N5,Doncaster,
00CEGU,Wheatley,5N5,Doncaster,
00CFFZ,Anston and Woodsetts,5H8,Rotherham,
00CFGA,Boston Castle,5H8,Rotherham,
00CFGB,Brinsworth and Catcliffe,5H8,Rotherham,
00CFGC,Dinnington,5H8,Rotherham,
00CFGD,Hellaby,5H8,Rotherham,
00CFGE,Holderness,5H8,Rotherham,
00CFGF,Hoober,5H8,Rotherham,
00CFGG,Keppel,5H8,Rotherham,
00CFGH,Maltby,5H8,Rotherham,
00CFGJ,Rawmarsh,5H8,Rotherham,
00CFGK,Rother Vale,5H8,Rotherham,
00CFGL,Rotherham East,5H8,Rotherham,
00CFGM,Rotherham West,5H8,Rotherham,
00CFGN,Silverwood,5H8,Rotherham,
00CFGP,Sitwell,5H8,Rotherham,
00CFGQ,Swinton,5H8,Rotherham,
00CFGR,Valley,5H8,Rotherham,
00CFGS,Wales,5H8,Rotherham,
00CFGT,Wath,5H8,Rotherham,
00CFGU,Wickersley,5H8,Rotherham,
00CFGW,Wingfield,5H8,Rotherham,
00CGGG,Arbourthorne,5N4,Sheffield,
00CGGH,Beauchief and Greenhill,5N4,Sheffield,
00CGGJ,Beighton,5N4,Sheffield,
00CGGK,Birley,5N4,Sheffield,
00CGGL,Broomhill,5N4,Sheffield,
00CGGM,Burngreave,5N4,Sheffield,
00CGGN,Central,5N4,Sheffield,
00CGGP,Crookes,5N4,Sheffield,
00CGGQ,Darnall,5N4,Sheffield,
00CGGR,Dore and Totley,5N4,Sheffield,
00CGGS,East Ecclesfield,5N4,Sheffield,
00CGGT,Ecclesall,5N4,Sheffield,
00CGGU,Firth Park,5N4,Sheffield,
00CGGW,Fulwood,5N4,Sheffield,
00CGGX,Gleadless Valley,5N4,Sheffield,
00CGGY,Graves Park,5N4,Sheffield,
00CGGZ,Hillsborough,5N4,Sheffield,
00CGHA,Manor Castle,5N4,Sheffield,
00CGHB,Mosborough,5N4,Sheffield,
00CGHC,Nether Edge,5N4,Sheffield,
00CGHD,Richmond,5N4,Sheffield,
00CGHE,Shiregreen and Brightside,5N4,Sheffield,
00CGHF,Southey,5N4,Sheffield,
00CGHG,Stannington,5N4,Sheffield,
00CGHH,Stocksbridge and Upper Don,5N4,Sheffield,
00CGHJ,Walkley,5N4,Sheffield,
00CGHK,West Ecclesfield,5N4,Sheffield,
00CGHL,Woodhouse,5N4,Sheffield,
00CHFZ,Birtley,5KF,Gateshead,
00CHGA,Blaydon,5KF,Gateshead,
00CHGB,Bridges,5KF,Gateshead,
00CHGC,Chopwell and Rowlands Gill,5KF,Gateshead,
00CHGD,Chowdene,5KF,Gateshead,
00CHGE,Crawcrook and Greenside,5KF,Gateshead,
00CHGF,Deckham,5KF,Gateshead,
00CHGG,Dunston and Teams,5KF,Gateshead,
00CHGH,Dunston Hill and Whickham East,5KF,Gateshead,
00CHGJ,Felling,5KF,Gateshead,
00CHGK,High Fell,5KF,Gateshead,
00CHGL,Lamesley,5KF,Gateshead,
00CHGM,Lobley Hill and Bensham,5KF,Gateshead,
00CHGN,Low Fell,5KF,Gateshead,
00CHGP,Pelaw and Heworth,5KF,Gateshead,
00CHGQ,"Ryton, Crookhill and Stella",5KF,Gateshead,
00CHGR,Saltwell,5KF,Gateshead,
00CHGS,Wardley and Leam Lane,5KF,Gateshead,
00CHGT,Whickham North,5KF,Gateshead,
00CHGU,Whickham South and Sunniside,5KF,Gateshead,
00CHGW,Windy Nook and Whitehills,5KF,Gateshead,
00CHGX,Winlaton and High Spen,5KF,Gateshead,
00CJGD,Benwell and Scotswood,5D7,Newcastle,
00CJGE,Blakelaw,5D7,Newcastle,
00CJGF,Byker,5D7,Newcastle,
00CJGG,Castle,5D7,Newcastle,
00CJGH,Dene,5D7,Newcastle,
00CJGJ,Denton,5D7,Newcastle,
00CJGK,East Gosforth,5D7,Newcastle,
00CJGL,Elswick,5D7,Newcastle,
00CJGM,Fawdon,5D7,Newcastle,
00CJGN,Fenham,5D7,Newcastle,
00CJGP,Kenton,5D7,Newcastle,
00CJGQ,Lemington,5D7,Newcastle,
00CJGR,Newburn,5D7,Newcastle,
00CJGS,North Heaton,5D7,Newcastle,
00CJGT,North Jesmond,5D7,Newcastle,
00CJGU,Ouseburn,5D7,Newcastle,
00CJGW,Parklands,5D7,Newcastle,
00CJGX,South Heaton,5D7,Newcastle,
00CJGY,South Jesmond,5D7,Newcastle,
00CJGZ,Walker,5D7,Newcastle,
00CJHA,Walkergate,5D7,Newcastle,
00CJHB,Westerhope,5D7,Newcastle,
00CJHC,Westgate,5D7,Newcastle,
00CJHD,West Gosforth,5D7,Newcastle,
00CJHE,Wingrove,5D7,Newcastle,
00CJHF,Woolsington,5D7,Newcastle,
00CKFX,Battle Hill,5D8,North Tyneside,
00CKFY,Benton,5D8,North Tyneside,
00CKFZ,Camperdown,5D8,North Tyneside,
00CKGA,Chirton,5D8,North Tyneside,
00CKGB,Collingwood,5D8,North Tyneside,
00CKGC,Cullercoats,5D8,North Tyneside,
00CKGD,Howdon,5D8,North Tyneside,
00CKGE,Killingworth,5D8,North Tyneside,
00CKGF,Longbenton,5D8,North Tyneside,
00CKGG,Monkseaton North,5D8,North Tyneside,
00CKGH,Monkseaton South,5D8,North Tyneside,
00CKGJ,Northumberland,5D8,North Tyneside,
00CKGK,Preston,5D8,North Tyneside,
00CKGL,Riverside,5D8,North Tyneside,
00CKGM,St Mary's,5D8,North Tyneside,
00CKGN,Tynemouth,5D8,North Tyneside,
00CKGP,Valley,5D8,North Tyneside,
00CKGQ,Wallsend,5D8,North Tyneside,
00CKGR,Weetslade,5D8,North Tyneside,
00CKGS,Whitley Bay,5D8,North Tyneside,
00CLFX,Beacon and Bents,5KG,South Tyneside,
00CLFY,Bede,5KG,South Tyneside,
00CLFZ,Biddick and All Saints,5KG,South Tyneside,
00CLGA,Boldon Colliery,5KG,South Tyneside,
00CLGB,Cleadon and East Boldon,5KG,South Tyneside,
00CLGC,Cleadon Park,5KG,South Tyneside,
00CLGD,Fellgate and Hedworth,5KG,South Tyneside,
00CLGE,Harton,5KG,South Tyneside,
00CLGF,Hebburn North,5KG,South Tyneside,
00CLGG,Hebburn South,5KG,South Tyneside,
00CLGH,Horsley Hill,5KG,South Tyneside,
00CLGJ,Monkton,5KG,South Tyneside,
00CLGK,Primrose,5KG,South Tyneside,
00CLGL,Simonside and Rekendyke,5KG,South Tyneside,
00CLGM,Westoe,5KG,South Tyneside,
00CLGN,West Park,5KG,South Tyneside,
00CLGP,Whitburn and Marsden,5KG,South Tyneside,
00CLGQ,Whiteleas,5KG,South Tyneside,
00CMGC,Barnes,5KL,Sunderland Teaching,
00CMGD,Castle,5KL,Sunderland Teaching,
00CMGE,Copt Hill,5KL,Sunderland Teaching,
00CMGF,Doxford,5KL,Sunderland Teaching,
00CMGG,Fulwell,5KL,Sunderland Teaching,
00CMGH,Hendon,5KL,Sunderland Teaching,
00CMGJ,Hetton,5KL,Sunderland Teaching,
00CMGK,Houghton,5KL,Sunderland Teaching,
00CMGL,Millfield,5KL,Sunderland Teaching,
00CMGM,Pallion,5KL,Sunderland Teaching,
00CMGN,Redhill,5KL,Sunderland Teaching,
00CMGP,Ryhope,5KL,Sunderland Teaching,
00CMGQ,St Anne's,5KL,Sunderland Teaching,
00CMGR,St Chad's,5KL,Sunderland Teaching,
00CMGS,St Michael's,5KL,Sunderland Teaching,
00CMGT,St Peter's,5KL,Sunderland Teaching,
00CMGU,Sandhill,5KL,Sunderland Teaching,
00CMGW,Shiney Row,5KL,Sunderland Teaching,
00CMGX,Silksworth,5KL,Sunderland Teaching,
00CMGY,Southwick,5KL,Sunderland Teaching,
00CMGZ,Washington Central,5KL,Sunderland Teaching,
00CMHA,Washington East,5KL,Sunderland Teaching,
00CMHB,Washington North,5KL,Sunderland Teaching,
00CMHC,Washington South,5KL,Sunderland Teaching,
00CMHD,Washington West,5KL,Sunderland Teaching,
00CNGS,Acocks Green,5PG,Birmingham East and North,
00CNGT,Aston,5MX,Heart of Birmingham Teaching,
00CNGU,Bartley Green,5M1,South Birmingham,
00CNGW,Billesley,5M1,South Birmingham,
00CNGX,Bordesley Green,5PG,Birmingham East and North,
00CNGY,Bournville,5M1,South Birmingham,
00CNGZ,Brandwood,5M1,South Birmingham,
00CNHA,Edgbaston,5M1,South Birmingham,
00CNHB,Erdington,5PG,Birmingham East and North,
00CNHC,Hall Green,5M1,South Birmingham,
00CNHD,Handsworth Wood,5MX,Heart of Birmingham Teaching,
00CNHE,Harborne,5M1,South Birmingham,
00CNHF,Hodge Hill,5PG,Birmingham East and North,
00CNHG,Kings Norton,5M1,South Birmingham,
00CNHH,Kingstanding,5PG,Birmingham East and North,
00CNHJ,Ladywood,5MX,Heart of Birmingham Teaching,
00CNHK,Longbridge,5M1,South Birmingham,
00CNHL,Lozells and East Handsworth,5MX,Heart of Birmingham Teaching,
00CNHM,Moseley and Kings Heath,5M1,South Birmingham,
00CNHN,Nechells,5MX,Heart of Birmingham Teaching,
00CNHP,Northfield,5M1,South Birmingham,
00CNHQ,Oscott,5MX,Heart of Birmingham Teaching,
00CNHR,Perry Barr,5MX,Heart of Birmingham Teaching,
00CNHS,Quinton,5M1,South Birmingham,
00CNHT,Selly Oak,5M1,South Birmingham,
00CNHU,Shard End,5PG,Birmingham East and North,
00CNHW,Sheldon,5PG,Birmingham East and North,
00CNHX,Soho,5MX,Heart of Birmingham Teaching,
00CNHY,South Yardley,5PG,Birmingham East and North,
