PAR08CD,PAR08NM,WD08CD,WD08NM,
18UH050,Woodland,18UHGL,Ambrook,
18UK001,Abbots Bickington,18UKHB,Waldon,
18UK002,Abbotsham,18UKGR,Kenwith,
18UK003,Alverdiscott,18UKGF,Bideford East,
18UK004,Alwington,18UKGR,Kenwith,
18UK005,Ashreigney,18UKHD,Winkleigh,
18UK006,Ashwater,18UKGN,Forest,
18UK007,Beaford,18UKGY,Three Moors,
18UK008,Bideford,18UKGG,Bideford North,
18UK008,Bideford,18UKGH,Bideford South,
18UK008,Bideford,18UKGF,Bideford East,
18UK008,Bideford,18UKGS,Monkleigh and Littleham,
18UK009,Black Torrington,18UKGM,Coham Bridge,
18UK010,Bradford,18UKGM,Coham Bridge,
18UK011,Bradworthy,18UKGP,Hartland and Bradworthy,
18UK012,Bridgerule,18UKGX,Tamarside,
18UK013,Broadwoodwidger,18UKGJ,Broadheath,
18UK014,Buckland Brewer,18UKHB,Waldon,
18UK015,Buckland Filleigh,18UKGK,Clinton,
18UK016,Bulkworthy,18UKHB,Waldon,
18UK017,Clawton,18UKGJ,Broadheath,
18UK018,Clovelly,18UKGL,Clovelly Bay,
18UK019,Cookbury,18UKGM,Coham Bridge,
18UK020,Dolton,18UKGY,Three Moors,
18UK021,Dowland,18UKGY,Three Moors,
18UK022,East Putford,18UKHB,Waldon,
18UK023,Frithelstock,18UKGS,Monkleigh and Littleham,
18UK024,Great Torrington,18UKGZ,Torrington,
18UK025,Halwill,18UKGN,Forest,
18UK026,Hartland,18UKGP,Hartland and Bradworthy,
18UK027,High Bickington,18UKHA,Two Rivers,
18UK028,Hollacombe,18UKGQ,Holsworthy,
18UK029,Holsworthy,18UKGQ,Holsworthy,
18UK030,Holsworthy Hamlets,18UKGQ,Holsworthy,
18UK031,Huish,18UKGK,Clinton,
18UK032,Huntshaw,18UKGF,Bideford East,
18UK033,Landcross,18UKGS,Monkleigh and Littleham,
18UK034,Langtree,18UKGW,Shebbear and Langtree,
18UK035,Littleham,18UKGS,Monkleigh and Littleham,
18UK036,Little Torrington,18UKGK,Clinton,
18UK037,Luffincott,18UKGJ,Broadheath,
18UK038,Merton,18UKGK,Clinton,
18UK039,Milton Damerel,18UKHB,Waldon,
18UK040,Monkleigh,18UKGS,Monkleigh and Littleham,
18UK041,Newton St. Petrock,18UKGW,Shebbear and Langtree,
18UK042,Northam,18UKHC,Westward Ho!,
18UK042,Northam,18UKGE,Appledore,
18UK042,Northam,18UKGT,Northam,
18UK042,Northam,18UKGU,Orchard Hill,
18UK043,Northcott,18UKGJ,Broadheath,
18UK044,Pancrasweek,18UKGX,Tamarside,
18UK045,Parkham,18UKGR,Kenwith,
18UK046,Peters Marland,18UKGK,Clinton,
18UK047,Petrockstow,18UKGK,Clinton,
18UK048,Pyworthy,18UKGX,Tamarside,
18UK049,Roborough,18UKGY,Three Moors,
18UK050,St. Giles in the Wood,18UKHA,Two Rivers,
18UK051,St. Giles on the Heath,18UKGJ,Broadheath,
18UK052,Shebbear,18UKGW,Shebbear and Langtree,
18UK053,Sheepwash,18UKGM,Coham Bridge,
18UK054,Sutcombe,18UKGQ,Holsworthy,
18UK055,Tetcott,18UKGJ,Broadheath,
18UK056,Thornbury,18UKGM,Coham Bridge,
18UK057,Virginstow,18UKGN,Forest,
18UK058,Weare Giffard,18UKGF,Bideford East,
18UK059,Welcombe,18UKGP,Hartland and Bradworthy,
18UK060,West Putford,18UKHB,Waldon,
18UK061,Winkleigh,18UKHD,Winkleigh,
18UK062,Woolfardisworthy,18UKGL,Clovelly Bay,
18UK063,Yarnscombe,18UKHA,Two Rivers,
18UK064,Area not comprised in any Parish-Lundy Island,18UKGL,Clovelly Bay,
18UL001,Beaworthy,18ULGG,Lew Valley,
18UL002,Belstone,18ULGN,Okehampton West,
18UL003,Bere Ferrers,18ULFY,Bere Ferrers,
18UL004,Bondleigh,18ULGL,North Tawton,
18UL005,Bradstone,18ULGK,Milton Ford,
18UL006,Bratton Clovelly,18ULFZ,Bridestowe,
18UL007,Brentor,18ULGJ,Mary Tavy,
18UL008,Bridestowe,18ULFZ,Bridestowe,
18UL009,Broadwoodkelly,18ULGE,Exbourne,
18UL010,Buckland Monachorum,18ULGA,Buckland Monachorum,
18UL010,Buckland Monachorum,18ULGW,Walkham,
18UL011,Chagford,18ULGC,Chagford,
18UL012,Coryton,18ULGK,Milton Ford,
18UL013,Dartmoor Forest,18ULGH,Lydford,
18UL014,Drewsteignton,18ULGD,Drewsteignton,
18UL015,Dunterton,18ULGK,Milton Ford,
18UL016,Exbourne,18ULGE,Exbourne,
18UL017,Germansweek,18ULFZ,Bridestowe,
18UL018,Gidleigh,18ULGD,Drewsteignton,
18UL019,Gulworthy,18ULGP,Tamarside,
18UL020,Hatherleigh,18ULGF,Hatherleigh,
18UL021,Highampton,18ULGF,Hatherleigh,
18UL022,Horrabridge,18ULGW,Walkham,
18UL023,Iddesleigh,18ULGE,Exbourne,
18UL024,Inwardleigh,18ULGG,Lew Valley,
18UL025,Jacobstowe,18ULGE,Exbourne,
18UL026,Kelly,18ULGK,Milton Ford,
18UL027,Lamerton,18ULGP,Tamarside,
18UL028,Lewtrenchard,18ULGK,Milton Ford,
18UL029,Lifton,18ULGU,Thrushel,
18UL030,Lydford,18ULGH,Lydford,
18UL031,Marystow,18ULGK,Milton Ford,
18UL032,Mary Tavy,18ULGJ,Mary Tavy,
18UL033,Meavy,18ULGB,Burrator,
18UL034,Meeth,18ULGF,Hatherleigh,
18UL035,Milton Abbot,18ULGK,Milton Ford,
18UL036,Monkokehampton,18ULGE,Exbourne,
18UL037,Northlew,18ULGG,Lew Valley,
18UL038,North Tawton,18ULGL,North Tawton,
18UL039,Okehampton,18ULGM,Okehampton East,
18UL039,Okehampton,18ULGN,Okehampton West,
18UL040,Okehampton Hamlets,18ULGG,Lew Valley,
18UL040,Okehampton Hamlets,18ULGN,Okehampton West,
18UL041,Peter Tavy,18ULGJ,Mary Tavy,
18UL042,Sampford Courtenay,18ULGE,Exbourne,
18UL043,Sampford Spiney,18ULGW,Walkham,
18UL044,Sheepstor,18ULGB,Burrator,
18UL045,Sourton,18ULFZ,Bridestowe,
18UL046,South Tawton,18ULGT,South Tawton,
18UL047,Spreyton,18ULGD,Drewsteignton,
18UL048,Sticklepath,18ULGT,South Tawton,
18UL049,Stowford,18ULGU,Thrushel,
18UL050,Sydenham Damerel,18ULGP,Tamarside,
18UL051,Tavistock,18ULGS,Tavistock South West,
18UL051,Tavistock,18ULGR,Tavistock South,
18UL051,Tavistock,18ULGQ,Tavistock North,
18UL052,Throwleigh,18ULGD,Drewsteignton,
18UL053,Thrushelton,18ULGU,Thrushel,
18UL054,Walkhampton,18ULGB,Burrator,
18UL055,Whitchurch,18ULGW,Walkham,
18UL056,Lands common to Bridestowe and Sourton CP's,18ULFZ,Bridestowe,
19UC001,Burton,19UCFL,Burton and Winkton,
19UC002,Hurn,19UCFU,St Catherine's and Hurn,
19UD001,Alderholt,19UDGA,Alderholt,
19UD001,Alderholt,19UDGH,Crane,
19UD002,Chalbury,19UDGM,Holt,
19UD003,Colehill,19UDGD,Colehill West,
19UD003,Colehill,19UDHA,Wimborne Minster,
19UD003,Colehill,19UDGC,Colehill East,
19UD004,Corfe Mullen,19UDGE,Corfe Mullen Central,
19UD004,Corfe Mullen,19UDGF,Corfe Mullen North,
19UD004,Corfe Mullen,19UDGG,Corfe Mullen South,
19UD005,Cranborne,19UDGH,Crane,
19UD006,Edmondsham,19UDGH,Crane,
19UD007,Ferndown Town,19UDGJ,Ferndown Central,
19UD007,Ferndown Town,19UDGB,Ameysford,
19UD007,Ferndown Town,19UDGK,Ferndown Links,
19UD007,Ferndown Town,19UDGN,Longham,
19UD007,Ferndown Town,19UDGP,Parley,
19UD007,Ferndown Town,19UDGS,Stapehill,
19UD008,Gussage All Saints,19UDGL,Handley Vale,
19UD009,Gussage St. Michael,19UDGL,Handley Vale,
19UD010,Hinton Martell,19UDGM,Holt,
19UD011,Hinton Parva,19UDGM,Holt,
19UD012,Holt,19UDGM,Holt,
19UD013,Horton,19UDGW,Verwood Dewlands,
19UD013,Horton,19UDGM,Holt,
19UD014,Long Crichel,19UDGL,Handley Vale,
19UD015,Moor Crichel,19UDGL,Handley Vale,
19UD016,Pamphill,19UDHA,Wimborne Minster,
19UD016,Pamphill,19UDGT,Stour,
19UD017,Pentridge,19UDGL,Handley Vale,
19UD018,St. Leonards and St. Ives,19UDGQ,St Leonards and St Ives East,
19UD018,St. Leonards and St. Ives,19UDGR,St Leonards and St Ives West,
19UD019,Shapwick,19UDGT,Stour,
19UD020,Sixpenny Handley,19UDGL,Handley Vale,
19UD021,Sturminster Marshall,19UDGT,Stour,
19UD022,Verwood,19UDGY,Verwood Stephen's Castle,
19UD022,Verwood,19UDGU,Three Cross and Potterne,
19UD022,Verwood,19UDGW,Verwood Dewlands,
19UD022,Verwood,19UDGX,Verwood Newtown,
19UD023,West Moors,19UDGZ,West Moors,
19UD024,West Parley,19UDGP,Parley,
19UD025,Wimborne Minster,19UDHA,Wimborne Minster,
19UD025,Wimborne Minster,19UDGD,Colehill West,
19UD026,Wimborne St. Giles,19UDGH,Crane,
19UD027,Witchampton,19UDGL,Handley Vale,
19UD028,Woodlands,19UDGH,Crane,
19UE001,Anderson,19UEGE,Abbey,
19UE002,Ashmore,19UEGP,Cranborne Chase,
19UE003,Blandford Forum,19UEGK,Blandford Old Town,
19UE003,Blandford Forum,19UEGG,Blandford Damory Down,
19UE003,Blandford Forum,19UEGJ,Blandford Langton St Leonards,
19UE003,Blandford Forum,19UEGL,Blandford Station,
19UE003,Blandford Forum,19UEGH,Blandford Hilltop,
19UE004,Blandford St. Mary,19UEGY,Portman,
19UE005,Bourton,19UEGM,Bourton and District,
19UE006,Bryanston,19UEGY,Portman,
19UE007,Buckhorn Weston,19UEGM,Bourton and District,
19UE008,Cann,19UEHF,The Beacon,
19UE009,Charlton Marshall,19UEGZ,Riversdale,
19UE010,Chettle,19UEGP,Cranborne Chase,
19UE011,Child Okeford,19UEGR,Hill Forts,
19UE012,Compton Abbas,19UEHF,The Beacon,
19UE013,Durweston,19UEGR,Hill Forts,
19UE014,East Orchard,19UEHH,The Stours,
19UE015,East Stour,19UEHH,The Stours,
19UE016,Farnham,19UEGP,Cranborne Chase,
19UE017,Fifehead Magdalen,19UEHH,The Stours,
19UE018,Fifehead Neville,19UEGT,Lydden Vale,
19UE019,Fontmell Magna,19UEHF,The Beacon,
19UE020,Gillingham,19UEGW,Milton,
19UE020,Gillingham,19UEGM,Bourton and District,
19UE020,Gillingham,19UEHJ,Wyke,
19UE020,Gillingham,19UEGS,Lodbourne,
19UE020,Gillingham,19UEGQ,Gillingham Town,
19UE021,Glanvilles Wootton,19UEGT,Lydden Vale,
19UE022,Hammoon,19UEHE,Stour Valley,
19UE023,Hanford,19UEGR,Hill Forts,
19UE024,Hazelbury Bryan,19UEGT,Lydden Vale,
19UE025,Hilton,19UEGE,Abbey,
19UE026,Hinton St. Mary,19UEHE,Stour Valley,
19UE027,Ibberton,19UEGN,Bulbarrow,
19UE028,Iwerne Courtney or Shroton,19UEGR,Hill Forts,
19UE029,Iwerne Minster,19UEGR,Hill Forts,
19UE030,Iwerne Stepleton,19UEGR,Hill Forts,
19UE031,Kington Magna,19UEGM,Bourton and District,
19UE032,Langton Long Blandford,19UEHG,The Lower Tarrants,
19UE033,Lydlinch,19UEGF,Blackmore,
19UE034,Manston,19UEHE,Stour Valley,
19UE035,Mappowder,19UEGT,Lydden Vale,
19UE036,Margaret Marsh,19UEHH,The Stours,
19UE037,Marnhull,19UEGU,Marnhull,
19UE038,Melbury Abbas,19UEHF,The Beacon,
19UE039,Milborne St. Andrew,19UEGE,Abbey,
19UE040,Milton Abbas,19UEGE,Abbey,
19UE041,Motcombe,19UEGX,Motcombe and Ham,
19UE042,Okeford Fitzpaine,19UEGN,Bulbarrow,
19UE043,Pimperne,19UEGP,Cranborne Chase,
19UE044,Pulham,19UEGT,Lydden Vale,
19UE045,Shaftesbury,19UEHA,Shaftesbury Central,
19UE045,Shaftesbury,19UEHB,Shaftesbury Christy's,
19UE045,Shaftesbury,19UEHC,Shaftesbury Grosvenor,
19UE045,Shaftesbury,19UEHD,Shaftesbury Underhill,
19UE046,Shillingstone,19UEGR,Hill Forts,
19UE047,Silton,19UEGM,Bourton and District,
19UE048,Spetisbury,19UEGZ,Riversdale,
19UE049,Stalbridge,19UEGF,Blackmore,
19UE050,Stoke Wake,19UEGT,Lydden Vale,
19UE051,Stourpaine,19UEGR,Hill Forts,
19UE052,Stour Provost,19UEHH,The Stours,
19UE053,Stourton Caundle,19UEGF,Blackmore,
19UE054,Sturminster Newton,19UEHE,Stour Valley,
19UE055,Sutton Waldron,19UEHF,The Beacon,
19UE056,Tarrant Crawford,19UEHG,The Lower Tarrants,
19UE057,Tarrant Gunville,19UEGP,Cranborne Chase,
19UE058,Tarrant Hinton,19UEGP,Cranborne Chase,
19UE059,Tarrant Keyneston,19UEHG,The Lower Tarrants,
19UE060,Tarrant Launceston,19UEHG,The Lower Tarrants,
19UE061,Tarrant Monkton,19UEHG,The Lower Tarrants,
19UE062,Tarrant Rawston,19UEHG,The Lower Tarrants,
19UE063,Tarrant Rushton,19UEHG,The Lower Tarrants,
19UE064,Todber,19UEHH,The Stours,
19UE065,Turnworth,19UEGN,Bulbarrow,
19UE066,West Orchard,19UEHH,The Stours,
19UE067,West Stour,19UEHH,The Stours,
19UE068,Winterborne Clenston,19UEGN,Bulbarrow,
19UE069,Winterborne Houghton,19UEGN,Bulbarrow,
19UE070,Winterborne Kingston,19UEGE,Abbey,
19UE071,Winterborne Stickland,19UEGN,Bulbarrow,
19UE072,Winterborne Whitechurch,19UEGE,Abbey,
19UE073,Winterborne Zelston,19UEGE,Abbey,
19UE074,Woolland,19UEGT,Lydden Vale,
19UG001,Affpuddle,19UGGB,Winfrith,
19UG002,Arne,19UGFQ,Creech Barrow,
19UG003,Bere Regis,19UGFN,Bere Regis,
19UG004,Bloxworth,19UGFN,Bere Regis,
19UG005,Chaldon Herring,19UGGB,Winfrith,
19UG006,Church Knowle,19UGFQ,Creech Barrow,
19UG007,Coombe Keynes,19UGGA,West Purbeck,
19UG008,Corfe Castle,19UGFP,Castle,
19UG009,East Holme,19UGGA,West Purbeck,
19UG010,East Lulworth,19UGGA,West Purbeck,
19UG011,East Stoke,19UGGA,West Purbeck,
19UG012,Kimmeridge,19UGFQ,Creech Barrow,
19UG013,Langton Matravers,19UGFR,Langton,
19UG014,Lytchett Matravers,19UGFS,Lytchett Matravers,
19UG015,Lytchett Minster and Upton,19UGFT,Lytchett Minster and Upton East,
19UG015,Lytchett Minster and Upton,19UGFU,Lytchett Minster and Upton West,
19UG016,Morden,19UGFS,Lytchett Matravers,
19UG017,Moreton,19UGGB,Winfrith,
19UG018,Steeple,19UGFQ,Creech Barrow,
19UG019,Studland,19UGFP,Castle,
19UG020,Swanage,19UGFY,Swanage South,
19UG020,Swanage,19UGFX,Swanage North,
19UG021,Turners Puddle,19UGGB,Winfrith,
19UG022,Tyneham,19UGFQ,Creech Barrow,
19UG023,Wareham Town,19UGFZ,Wareham,
19UG024,Wareham St. Martin,19UGFW,St. Martin,
19UG025,West Lulworth,19UGGA,West Purbeck,
19UG026,Winfrith Newburgh,19UGGB,Winfrith,
19UG027,Wool,19UGGC,Wool,
19UG028,Worth Matravers,19UGFR,Langton,
19UH001,Abbotsbury,19UHHD,Chesil Bank,
19UH002,Allington,19UHHS,Netherbury,
19UH003,Alton Pancras,19UHHU,Piddle Valley,
19UH004,Askerswell,19UHHN,Loders,
19UH005,Athelhampton,19UHHW,Puddletown,
19UH006,Batcombe,19UHHM,Halstock,
19UH007,Beaminster,19UHGR,Beaminster,
19UH008,Beer Hackett,19UHGS,Bradford Abbas,
19UH009,Bettiscombe,19UHHR,Marshwood Vale,
19UH010,Bincombe,19UHJA,Winterborne St Martin,
19UH011,Bishop's Caundle,19UHHX,Queen Thorne,
19UH012,Bothenhampton,19UHHN,Loders,
19UH012,Bothenhampton,19UHGW,Bridport South and Bothenhampton,
19UH013,Bradford Abbas,19UHGS,Bradford Abbas,
19UH014,Bradford Peverell,19UHHB,Charminster and Cerne Valley,
19UH015,Bradpole,19UHGT,Bradpole,
19UH015,Bradpole,19UHGU,Bridport North,
19UH016,Bridport,19UHGW,Bridport South and Bothenhampton,
19UH016,Bridport,19UHGU,Bridport North,
19UH017,Broadmayne,19UHGX,Broadmayne,
19UH018,Broadwindsor,19UHGY,Broadwindsor,
19UH019,Buckland Newton,19UHHU,Piddle Valley,
19UH020,Burleston,19UHHW,Puddletown,
19UH021,Burstock,19UHGY,Broadwindsor,
19UH022,Burton Bradstock,19UHGZ,Burton Bradstock,
19UH023,Castleton,19UHHX,Queen Thorne,
19UH024,Catherston Leweston,19UHHC,Charmouth,
19UH025,Cattistock,19UHHL,Frome Valley,
19UH026,Caundle Marsh,19UHHX,Queen Thorne,
19UH027,Cerne Abbas,19UHHB,Charminster and Cerne Valley,
19UH028,Charminster,19UHHB,Charminster and Cerne Valley,
19UH029,Charmouth,19UHHC,Charmouth,
19UH030,Chedington,19UHGR,Beaminster,
19UH031,Cheselbourne,19UHHW,Puddletown,
19UH032,Chetnole,19UHJB,Yetminster,
19UH033,Chickerell,19UHHE,Chickerell,
19UH034,Chideock,19UHHF,Chideock and Symondsbury,
19UH035,Chilcombe,19UHGZ,Burton Bradstock,
19UH036,Chilfrome,19UHHL,Frome Valley,
19UH037,Clifton Maybank,19UHGS,Bradford Abbas,
19UH038,Compton Valence,19UHHQ,Maiden Newton,
19UH039,Corscombe,19UHHM,Halstock,
19UH040,Crossways,19UHHT,Owermoigne,
19UH041,Dewlish,19UHHW,Puddletown,
19UH042,Dorchester,19UHHG,Dorchester East,
19UH042,Dorchester,19UHHH,Dorchester North,
19UH042,Dorchester,19UHHJ,Dorchester South,
19UH042,Dorchester,19UHHK,Dorchester West,
19UH043,East Chelborough,19UHHM,Halstock,
19UH044,Evershot,19UHHM,Halstock,
19UH045,Fleet,19UHHD,Chesil Bank,
19UH046,Folke,19UHHA,Cam Vale,
19UH047,Frampton,19UHHL,Frome Valley,
19UH048,Frome St. Quintin,19UHHL,Frome Valley,
19UH049,Frome Vauchurch,19UHHQ,Maiden Newton,
19UH050,Goathill,19UHHX,Queen Thorne,
19UH051,Godmanstone,19UHHB,Charminster and Cerne Valley,
19UH052,Halstock,19UHHM,Halstock,
19UH053,Haydon,19UHHX,Queen Thorne,
19UH054,Hermitage,19UHHM,Halstock,
19UH055,Hilfield,19UHHM,Halstock,
19UH056,Holnest,19UHHA,Cam Vale,
19UH057,Holwell,19UHHA,Cam Vale,
19UH058,Hooke,19UHHQ,Maiden Newton,
19UH059,Kingston Russell,19UHHD,Chesil Bank,
19UH060,Langton Herring,19UHHD,Chesil Bank,
19UH061,Leigh,19UHHA,Cam Vale,
19UH062,Leweston,19UHHA,Cam Vale,
19UH063,Lillington,19UHHA,Cam Vale,
19UH064,Littlebredy,19UHHD,Chesil Bank,
19UH065,Litton Cheney,19UHHD,Chesil Bank,
19UH066,Loders,19UHHN,Loders,
19UH067,Long Bredy,19UHHD,Chesil Bank,
19UH068,Longburton,19UHHA,Cam Vale,
19UH069,Lyme Regis,19UHHP,Lyme Regis,
19UH070,Maiden Newton,19UHHQ,Maiden Newton,
19UH071,Mapperton,19UHGR,Beaminster,
19UH072,Marshwood,19UHHR,Marshwood Vale,
19UH073,Melbury Bubb,19UHHM,Halstock,
19UH074,Melbury Osmond,19UHHM,Halstock,
19UH075,Melbury Sampford,19UHHM,Halstock,
19UH076,Melcombe Horsey,19UHHU,Piddle Valley,
19UH077,Minterne Magna,19UHHB,Charminster and Cerne Valley,
19UH078,Mosterton,19UHGR,Beaminster,
19UH079,Netherbury,19UHHS,Netherbury,
19UH080,Nether Cerne,19UHHB,Charminster and Cerne Valley,
19UH081,Nether Compton,19UHHX,Queen Thorne,
19UH082,North Poorton,19UHHN,Loders,
19UH083,North Wootton,19UHHA,Cam Vale,
19UH084,Oborne,19UHHX,Queen Thorne,
19UH085,Osmington,19UHHT,Owermoigne,
19UH086,Over Compton,19UHHX,Queen Thorne,
19UH087,Owermoigne,19UHHT,Owermoigne,
19UH088,Piddlehinton,19UHHU,Piddle Valley,
19UH089,Piddletrenthide,19UHHU,Piddle Valley,
19UH090,Pilsdon,19UHGY,Broadwindsor,
19UH091,Portesham,19UHHD,Chesil Bank,
19UH092,Powerstock,19UHHN,Loders,
19UH093,Poxwell,19UHHT,Owermoigne,
19UH094,Poyntington,19UHHX,Queen Thorne,
19UH095,Puddletown,19UHHW,Puddletown,
19UH096,Puncknowle,19UHGZ,Burton Bradstock,
19UH097,Purse Caundle,19UHHX,Queen Thorne,
19UH098,Rampisham,19UHHQ,Maiden Newton,
19UH099,Ryme Intrinseca,19UHJB,Yetminster,
19UH100,Sandford Orcas,19UHHX,Queen Thorne,
19UH101,Seaborough,19UHGY,Broadwindsor,
19UH102,Sherborne,19UHHY,Sherborne East,
19UH102,Sherborne,19UHHZ,Sherborne West,
19UH103,Shipton Gorge,19UHGZ,Burton Bradstock,
19UH104,South Perrott,19UHGR,Beaminster,
19UH105,Stanton St. Gabriel,19UHHF,Chideock and Symondsbury,
19UH106,Stinsford,19UHHB,Charminster and Cerne Valley,
19UH107,Stockwood,19UHJB,Yetminster,
19UH108,Stoke Abbott,19UHGY,Broadwindsor,
19UH109,Stratton,19UHHL,Frome Valley,
19UH110,Swyre,19UHGZ,Burton Bradstock,
19UH111,Sydling St. Nicholas,19UHHL,Frome Valley,
19UH112,Symondsbury,19UHHF,Chideock and Symondsbury,
19UH113,Thorncombe,19UHHR,Marshwood Vale,
19UH114,Thornford,19UHGS,Bradford Abbas,
19UH115,Tincleton,19UHHT,Owermoigne,
19UH116,Toller Fratrum,19UHHQ,Maiden Newton,
19UH117,Toller Porcorum,19UHHQ,Maiden Newton,
19UH118,Tolpuddle,19UHHW,Puddletown,
19UH119,Trent,19UHHX,Queen Thorne,
19UH120,Up Cerne,19UHHB,Charminster and Cerne Valley,
19UH121,Warmwell,19UHHT,Owermoigne,
19UH122,West Chelborough,19UHHM,Halstock,
19UH123,West Compton,19UHHQ,Maiden Newton,
19UH124,West Knighton,19UHGX,Broadmayne,
19UH125,West Stafford,19UHGX,Broadmayne,
19UH126,Whitcombe,19UHJA,Winterborne St Martin,
19UH127,Whitchurch Canonicorum,19UHHR,Marshwood Vale,
19UH128,Winterborne Came,19UHJA,Winterborne St Martin,
19UH129,Winterborne Herringston,19UHJA,Winterborne St Martin,
19UH130,Winterborne Monkton,19UHJA,Winterborne St Martin,
19UH131,Winterborne St. Martin,19UHJA,Winterborne St Martin,
19UH132,Winterbourne Abbas,19UHJA,Winterborne St Martin,
19UH133,Winterbourne Steepleton,19UHJA,Winterborne St Martin,
19UH134,Woodsford,19UHHT,Owermoigne,
19UH135,Wootton Fitzpaine,19UHHC,Charmouth,
19UH136,Wraxall,19UHHQ,Maiden Newton,
19UH137,Wynford Eagle,19UHHQ,Maiden Newton,
19UH138,Yetminster,19UHJB,Yetminster,
19UJ001,Portland,19UJFX,Underhill,
19UJ001,Portland,19UJFW,Tophill West,
19UJ001,Portland,19UJFU,Tophill East,
20UB001,Bournmoor,20UBFT,Bournmoor,
20UB002,Edmondsley,20UBGA,Edmondsley and Waldridge,
20UB002,Edmondsley,20UBGB,Grange Villa and West Pelton,
20UB003,Great Lumley,20UBGD,Lumley,
20UB004,Kimblesworth and Plawsworth,20UBGC,Kimblesworth and Plawsworth,
20UB005,Little Lumley,20UBGD,Lumley,
20UB005,Little Lumley,20UBFT,Bournmoor,
20UB006,North Lodge,20UBGE,North Lodge,
20UB007,Ouston,20UBGF,Ouston,
20UB008,Pelton,20UBGG,Pelton,
20UB008,Pelton,20UBGK,Urpeth,
20UB008,Pelton,20UBGB,Grange Villa and West Pelton,
20UB009,Sacriston,20UBGJ,Sacriston,
20UB010,Urpeth,20UBGG,Pelton,
20UB010,Urpeth,20UBGK,Urpeth,
20UB010,Urpeth,20UBGB,Grange Villa and West Pelton,
20UB011,Waldridge,20UBGA,Edmondsley and Waldridge,
20UD001,Cornsay,20UDGL,Cornsay,
20UD002,Esh,20UDGR,Esh,
20UD003,Greencroft,20UDGT,Lanchester,
20UD004,Healeyfield,20UDGF,Castleside,
20UD005,Hedleyhope,20UDGL,Cornsay,
20UD006,Lanchester,20UDGT,Lanchester,
20UD008,Muggleswick,20UDGF,Castleside,
20UD009,Satley,20UDGL,Cornsay,
20UD010,Burnhope,20UDGD,Burnhope,
20UD011,Stanley,20UDGY,Tanfield,
20UD011,Stanley,20UDGS,Havannah,
20UD011,Stanley,20UDGX,Stanley Hall,
20UD011,Stanley,20UDGW,South Moor,
20UD011,Stanley,20UDGM,Craghead and South Stanley,
20UD011,Stanley,20UDGG,Catchgate,
20UD011,Stanley,20UDGA,Annfield Plain,
20UE001,Bearpark,20UEGB,Bearpark and Witton Gilbert,
20UE002,Belmont,20UEGC,Belmont,
20UE002,Belmont,20UEGF,Carrville and Gilesgate Moor,
20UE003,Brancepeth,20UEGD,"Brancepeth, Langley Moor and Meadowfield",
20UE004,Brandon and Byshottles,20UEGD,"Brancepeth, Langley Moor and Meadowfield",
20UE004,Brandon and Byshottles,20UEGK,Deerness,
20UE004,Brandon and Byshottles,20UEGP,New Brancepeth and Ushaw Moor,
20UE004,Brandon and Byshottles,20UEGE,Brandon,
20UE005,Cassop-cum-Quarrington,20UEGG,Cassop-cum-Quarrington,
20UE006,Coxhoe,20UEGH,Coxhoe,
20UE007,Croxdale and Hett,20UEGG,Cassop-cum-Quarrington,
20UE008,Framwellgate Moor,20UEGM,Framwellgate Moor,
20UE009,Kelloe,20UEGH,Coxhoe,
20UE010,Pittington,20UEGT,Pittington and West Rainton,
20UE011,Shadforth,20UEGW,Shadforth and Sherburn,
20UE012,Sherburn Village,20UEGW,Shadforth and Sherburn,
20UE013,Shincliffe,20UEGX,Shincliffe,
20UE014,West Rainton,20UEGT,Pittington and West Rainton,
20UE015,Witton Gilbert,20UEGB,Bearpark and Witton Gilbert,
20UE016,Lands Common to Brancepeth and Brandon and Byshottles,20UEGD,"Brancepeth, Langley Moor and Meadowfield",
20UF001,Castle Eden,20UFGR,Hutton Henry,
20UF002,Dalton-le-Dale,20UFGH,Deneside,
20UF002,Dalton-le-Dale,20UFGS,Murton East,
20UF003,Easington Colliery,20UFGJ,Easington Colliery,
20UF004,Easington Village,20UFGK,Easington Village and South Hetton,
20UF005,Haswell,20UFGM,Haswell and Shotton,
20UF006,Hawthorn,20UFGK,Easington Village and South Hetton,
20UF007,Horden,20UFGP,Horden South,
20UF007,Horden,20UFGN,Horden North,
20UF008,Hutton Henry,20UFGZ,Wingate,
20UF008,Hutton Henry,20UFGR,Hutton Henry,
20UF009,Monk Hesleden,20UFGR,Hutton Henry,
20UF009,Monk Hesleden,20UFGE,Blackhalls,
20UF010,Murton,20UFGT,Murton West,
20UF010,Murton,20UFGS,Murton East,
20UF011,Nesbitt,20UFGR,Hutton Henry,
20UF012,Peterlee,20UFGD,Acre Rigg,
20UF012,Peterlee,20UFGG,Dene House,
20UF012,Peterlee,20UFGL,Eden Hill,
20UF012,Peterlee,20UFGQ,Howletch,
20UF012,Peterlee,20UFGU,Passfield,
20UF013,Seaham,20UFGF,Dawdon,
20UF013,Seaham,20UFGH,Deneside,
20UF013,Seaham,20UFGW,Seaham Harbour,
20UF013,Seaham,20UFGX,Seaham North,
20UF014,Seaton with Slingley,20UFGX,Seaham North,
20UF015,Sheraton with Hulam,20UFGR,Hutton Henry,
20UF016,Shotton,20UFGM,Haswell and Shotton,
