WD08CD,WD08NM,REGD08CD,REGD08NM,PAR08CD,PAR08NM
00DAGX,Cross Gates and Whinmoor,092,Leeds,,
00DAGY,Farnley and Wortley,092,Leeds,,
00DAGZ,Garforth and Swillington,092,Leeds,,
00DAHA,Gipton and Harehills,092,Leeds,,
00DAHB,Guiseley and Rawdon,092,Leeds,,
00DAHC,Harewood,092,Leeds,,
00DAHD,Headingley,092,Leeds,,
00DAHE,Horsforth,092,Leeds,,
00DAHF,Hyde Park and Woodhouse,092,Leeds,,
00DAHG,Killingbeck and Seacroft,092,Leeds,,
00DAHH,Kippax and Methley,092,Leeds,,
00DAHJ,Kirkstall,092,Leeds,,
00DAHK,Middleton Park,092,Leeds,,
00DAHL,Moortown,092,Leeds,,
00DAHM,Morley North,092,Leeds,,
00DAHN,Morley South,092,Leeds,,
00DAHP,Otley and Yeadon,092,Leeds,,
00DAHQ,Pudsey,092,Leeds,,
00DAHR,Rothwell,092,Leeds,,
00DAHS,Roundhay,092,Leeds,,
00DAHT,Temple Newsam,092,Leeds,,
00DAHU,Weetwood,092,Leeds,,
00DAHW,Wetherby,092,Leeds,,
00DBFY,"Ackworth, North Elmsall and Upton",097,Wakefield,,
00DBFZ,Airedale and Ferry Fryston,097,Wakefield,,
00DBGA,Altofts and Whitwood,097,Wakefield,,
00DBGB,Castleford Central and Glasshoughton,097,Wakefield,,
00DBGC,"Crofton, Ryhill and Walton",097,Wakefield,,
00DBGD,Featherstone,097,Wakefield,,
00DBGE,Hemsworth,097,Wakefield,,
00DBGF,Horbury and South Ossett,097,Wakefield,,
00DBGG,Knottingley,097,Wakefield,,
00DBGH,Normanton,097,Wakefield,,
00DBGJ,Ossett,097,Wakefield,,
00DBGK,Pontefract North,097,Wakefield,,
00DBGL,Pontefract South,097,Wakefield,,
00DBGM,South Elmsall and South Kirkby,097,Wakefield,,
00DBGN,Stanley and Outwood East,097,Wakefield,,
00DBGP,Wakefield East,097,Wakefield,,
00DBGQ,Wakefield North,097,Wakefield,,
00DBGR,Wakefield Rural,097,Wakefield,,
00DBGS,Wakefield South,097,Wakefield,,
00DBGT,Wakefield West,097,Wakefield,,
00DBGU,Wrenthorpe and Outwood West,097,Wakefield,,
00EBMT,Brus,351,Hartlepool,,
00EBMU,Burn Valley,351,Hartlepool,,
00EBMW,Dyke House,351,Hartlepool,,
00EBMX,Elwick,351,Hartlepool,,
00EBMY,Fens,351,Hartlepool,,
00EBMZ,Foggy Furze,351,Hartlepool,,
00EBNA,Grange,351,Hartlepool,,
00EBNB,Greatham,351,Hartlepool,,
00EBNC,Hart,351,Hartlepool,,
00EBND,Owton,351,Hartlepool,,
00EBNE,Park,351,Hartlepool,,
00EBNF,Rift House,351,Hartlepool,,
00EBNG,Rossmere,351,Hartlepool,,
00EBNH,St Hilda,351,Hartlepool,,
00EBNJ,Seaton,351,Hartlepool,,
00EBNK,Stranton,351,Hartlepool,,
00EBNL,Throston,351,Hartlepool,,
00ECNC,Acklam,348,Middlesbrough,,
00ECND,Ayresome,348,Middlesbrough,,
00ECNE,Beckfield,348,Middlesbrough,,
00ECNF,Beechwood,348,Middlesbrough,,
00ECNG,Brookfield,348,Middlesbrough,,
00ECNH,Clairville,348,Middlesbrough,,
00ECNJ,Coulby Newham,348,Middlesbrough,,
00ECNK,Gresham,348,Middlesbrough,,
00ECNL,Hemlington,348,Middlesbrough,,
00ECNM,Kader,348,Middlesbrough,,
00ECNN,Ladgate,348,Middlesbrough,,
00ECNP,Linthorpe,348,Middlesbrough,,
00ECNQ,North Ormesby and Brambles Farm,348,Middlesbrough,,
00ECNR,Marton,348,Middlesbrough,,
00ECNS,Marton West,348,Middlesbrough,,
00ECNT,Middlehaven,348,Middlesbrough,,
00ECNU,Nunthorpe,348,Middlesbrough,,
00ECNW,Pallister,348,Middlesbrough,,
00ECNX,Park,348,Middlesbrough,,
00ECNY,Park End,348,Middlesbrough,,
00ECNZ,Stainton and Thornton,348,Middlesbrough,,
00ECPA,Thorntree,348,Middlesbrough,,
00ECPB,University,348,Middlesbrough,,
00EEMZ,Brotton,349,Redcar and Cleveland,,
00EENA,Coatham,349,Redcar and Cleveland,,
00EENB,Dormanstown,349,Redcar and Cleveland,,
00EENC,Eston,349,Redcar and Cleveland,,
00EEND,Grangetown,349,Redcar and Cleveland,,
00EENE,Guisborough,349,Redcar and Cleveland,,
00EENF,Hutton,349,Redcar and Cleveland,,
00EENG,Kirkleatham,349,Redcar and Cleveland,,
00EENH,Lockwood,349,Redcar and Cleveland,,
00EENJ,Loftus,349,Redcar and Cleveland,,
00EENK,Longbeck,349,Redcar and Cleveland,,
00EENL,Newcomen,349,Redcar and Cleveland,,
00EENM,Normanby,349,Redcar and Cleveland,,
00EENN,Ormesby,349,Redcar and Cleveland,,
00EENP,St Germain's,349,Redcar and Cleveland,,
00EENQ,Saltburn,349,Redcar and Cleveland,,
00EENR,Skelton,349,Redcar and Cleveland,,
00EENS,South Bank,349,Redcar and Cleveland,,
00EENT,Teesville,349,Redcar and Cleveland,,
00EENU,West Dyke,349,Redcar and Cleveland,,
00EENW,Westworth,349,Redcar and Cleveland,,
00EENX,Zetland,349,Redcar and Cleveland,,
00EFNH,Billingham Central,350,Stockton-on-Tees,,
00EFNJ,Billingham East,350,Stockton-on-Tees,,
00EFNK,Billingham North,350,Stockton-on-Tees,,
00EFNL,Billingham South,350,Stockton-on-Tees,,
00EFNM,Billingham West,350,Stockton-on-Tees,,
00EFNN,Bishopsgarth and Elm Tree,350,Stockton-on-Tees,,
00EFNP,Eaglescliffe,350,Stockton-on-Tees,,
00EFNQ,Fairfield,350,Stockton-on-Tees,,
00EFNR,Grangefield,350,Stockton-on-Tees,,
00EFNS,Hardwick,350,Stockton-on-Tees,,
00EFNT,Hartburn,350,Stockton-on-Tees,,
00EFNU,Ingleby Barwick East,350,Stockton-on-Tees,,
00EFNW,Ingleby Barwick West,350,Stockton-on-Tees,,
00EFNX,Mandale and Victoria,350,Stockton-on-Tees,,
00EFNY,Newtown,350,Stockton-on-Tees,,
00EFNZ,Northern Parishes,350,Stockton-on-Tees,,
00EFPA,Norton North,350,Stockton-on-Tees,,
00EFPB,Norton South,350,Stockton-on-Tees,,
00EFPC,Norton West,350,Stockton-on-Tees,,
00EFPD,Parkfield and Oxbridge,350,Stockton-on-Tees,,
00EFPE,Roseworth,350,Stockton-on-Tees,,
00EFPF,Stainsby Hill,350,Stockton-on-Tees,,
00EFPG,Stockton Town Centre,350,Stockton-on-Tees,,
00EFPH,Village,350,Stockton-on-Tees,,
00EFPJ,Western Parishes,350,Stockton-on-Tees,,
00EFPK,Yarm,350,Stockton-on-Tees,,
00EHNC,Bank Top,436,Darlington,,
00EHND,Central,436,Darlington,,
00EHNE,Cockerton East,436,Darlington,,
00EHNF,Cockerton West,436,Darlington,,
00EHNG,College,436,Darlington,,
00EHNH,Eastbourne,436,Darlington,,
00EHNJ,Faverdale,436,Darlington,,
00EHNK,Harrowgate Hill,436,Darlington,,
00EHNL,Haughton East,436,Darlington,,
00EHNM,Haughton North,436,Darlington,,
00EHNN,Haughton West,436,Darlington,,
00EHNP,Heighington and Coniscliffe,436,Darlington,,
00EHNQ,Hummersknott,436,Darlington,,
00EHNR,Hurworth,436,Darlington,,
00EHNS,Lascelles,436,Darlington,,
00EHNT,Lingfield,436,Darlington,,
00EHNU,Middleton St George,436,Darlington,,
00EHNW,Mowden,436,Darlington,,
00EHNX,North Road,436,Darlington,,
00EHNY,Northgate,436,Darlington,,
00EHNZ,Park East,436,Darlington,,
00EHPA,Park West,436,Darlington,,
00EHPB,Pierremont,436,Darlington,,
00EHPC,Sadberge and Whessoe,436,Darlington,,
00ETMY,Appleton,343,Halton,,
00ETMZ,Beechwood,343,Halton,,
00ETNA,Birchfield,343,Halton,,
00ETNB,Broadheath,343,Halton,,
00ETNC,Castlefields,343,Halton,,
00ETND,Daresbury,343,Halton,,
00ETNE,Ditton,343,Halton,,
00ETNF,Farnworth,343,Halton,,
00ETNG,Grange,343,Halton,,
00ETNH,Hale,343,Halton,,
00ETNJ,Halton Brook,343,Halton,,
00ETNK,Halton Lea,343,Halton,,
00ETNL,Halton View,343,Halton,,
00ETNM,Heath,343,Halton,,
00ETNN,Hough Green,343,Halton,,
00ETNP,Kingsway,343,Halton,,
00ETNQ,Mersey,343,Halton,,
00ETNR,Norton North,343,Halton,,
00ETNS,Norton South,343,Halton,,
00ETNT,Riverside,343,Halton,,
00ETNU,Windmill Hill,343,Halton,,
00EUNB,Appleton,346,Warrington,,
00EUNC,Bewsey and Whitecross,346,Warrington,,
00EUND,Birchwood,346,Warrington,,
00EUNE,Burtonwood and Winwick,346,Warrington,,
00EUNF,"Culcheth, Glazebury and Croft",346,Warrington,,
00EUNG,Fairfield and Howley,346,Warrington,,
00EUNH,Grappenhall and Thelwall,346,Warrington,,
00EUNJ,Great Sankey North,346,Warrington,,
00EUNK,Great Sankey South,346,Warrington,,
00EUNL,"Hatton, Stretton and Walton",346,Warrington,,
00EUNM,Latchford East,346,Warrington,,
00EUNN,Latchford West,346,Warrington,,
00EUNP,Lymm,346,Warrington,,
00EUNQ,Orford,346,Warrington,,
00EUNR,Penketh and Cuerdley,346,Warrington,,
00EUNS,Poplars and Hulme,346,Warrington,,
00EUNT,Poulton North,346,Warrington,,
00EUNU,Poulton South,346,Warrington,,
00EUNW,Rixton and Woolston,346,Warrington,,
00EUNX,Stockton Heath,346,Warrington,,
00EUNY,Westbrook,346,Warrington,,
00EUNZ,Whittle Hall,346,Warrington,,
00EXMZ,Audley,580,Blackburn with Darwen,,
00EXNA,Bastwell,580,Blackburn with Darwen,,
00EXNB,Beardwood with Lammack,580,Blackburn with Darwen,,
00EXNC,Corporation Park,580,Blackburn with Darwen,,
00EXND,Earcroft,580,Blackburn with Darwen,,
00EXNE,East Rural,580,Blackburn with Darwen,,
00EXNF,Ewood,580,Blackburn with Darwen,,
00EXNG,Fernhurst,580,Blackburn with Darwen,,
00EXNH,Higher Croft,580,Blackburn with Darwen,,
00EXNJ,Little Harwood,580,Blackburn with Darwen,,
00EXNK,Livesey with Pleasington,580,Blackburn with Darwen,,
00EXNL,Marsh House,580,Blackburn with Darwen,,
00EXNM,Meadowhead,580,Blackburn with Darwen,,
00EXNN,Mill Hill,580,Blackburn with Darwen,,
00EXNP,North Turton with Tockholes,580,Blackburn with Darwen,,
00EXNQ,Queen's Park,580,Blackburn with Darwen,,
00EXNR,Roe Lee,580,Blackburn with Darwen,,
00EXNS,Shadsworth with Whitebirk,580,Blackburn with Darwen,,
00EXNT,Shear Brow,580,Blackburn with Darwen,,
00EXNU,Sudell,580,Blackburn with Darwen,,
00EXNW,Sunnyhurst,580,Blackburn with Darwen,,
00EXNX,Wensley Fold,580,Blackburn with Darwen,,
00EXNY,Whitehall,580,Blackburn with Darwen,,
00EYMZ,Anchorsholme,581,Blackpool,,
00EYNA,Bispham,581,Blackpool,,
00EYNB,Bloomfield,581,Blackpool,,
00EYNC,Brunswick,581,Blackpool,,
00EYND,Claremont,581,Blackpool,,
00EYNE,Clifton,581,Blackpool,,
00EYNF,Greenlands,581,Blackpool,,
00EYNG,Hawes Side,581,Blackpool,,
00EYNH,Highfield,581,Blackpool,,
00EYNJ,Ingthorpe,581,Blackpool,,
00EYNK,Layton,581,Blackpool,,
00EYNL,Marton,581,Blackpool,,
00EYNM,Norbreck,581,Blackpool,,
00EYNN,Park,581,Blackpool,,
00EYNP,Squires Gate,581,Blackpool,,
00EYNQ,Stanley,581,Blackpool,,
00EYNR,Talbot,581,Blackpool,,
00EYNS,Tyldesley,581,Blackpool,,
00EYNT,Victoria,581,Blackpool,,
00EYNU,Warbreck,581,Blackpool,,
00EYNW,Waterloo,581,Blackpool,,
00FAMX,Avenue,550,Hull,,
00FAMY,Beverley,550,Hull,,
00FAMZ,Boothferry,550,Hull,,
00FANA,Bransholme East,550,Hull,,
00FANB,Bransholme West,550,Hull,,
00FANC,Bricknell,550,Hull,,
00FAND,Derringham,550,Hull,,
00FANE,Drypool,550,Hull,,
00FANF,Holderness,550,Hull,,
00FANG,Ings,550,Hull,,
00FANH,Kings Park,550,Hull,,
00FANJ,Longhill,550,Hull,,
00FANK,Marfleet,550,Hull,,
00FANL,Myton,550,Hull,,
00FANM,Newington,550,Hull,,
00FANN,Newland,550,Hull,,
00FANP,Orchard Park and Greenwood,550,Hull,,
00FANQ,Pickering,550,Hull,,
00FANR,St Andrew's,550,Hull,,
00FANS,Southcoates East,550,Hull,,
00FANT,Southcoates West,550,Hull,,
00FANU,Sutton,550,Hull,,
00FANW,University,550,Hull,,
00FBND,Beverley Rural,541,East Riding of Yorkshire,,
00FBNE,Bridlington Central and Old Town,541,East Riding of Yorkshire,,
00FBNF,Bridlington North,541,East Riding of Yorkshire,,
00FBNG,Bridlington South,541,East Riding of Yorkshire,,
00FBNH,Cottingham North,541,East Riding of Yorkshire,,
00FBNJ,Cottingham South,541,East Riding of Yorkshire,,
00FBNK,Dale,541,East Riding of Yorkshire,,
00FBNL,Driffield and Rural,541,East Riding of Yorkshire,,
00FBNM,East Wolds and Coastal,541,East Riding of Yorkshire,,
00FBNN,Goole North,541,East Riding of Yorkshire,,
00FBNP,Goole South,541,East Riding of Yorkshire,,
00FBNQ,Hessle,541,East Riding of Yorkshire,,
00FBNR,Howden,541,East Riding of Yorkshire,,
00FBNS,Howdenshire,541,East Riding of Yorkshire,,
00FBNT,Mid Holderness,541,East Riding of Yorkshire,,
00FBNU,Minster and Woodmansey,541,East Riding of Yorkshire,,
00FBNW,North Holderness,541,East Riding of Yorkshire,,
00FBNX,Pocklington Provincial,541,East Riding of Yorkshire,,
00FBNY,St Mary's,541,East Riding of Yorkshire,,
00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",541,East Riding of Yorkshire,,
00FBPA,South East Holderness,541,East Riding of Yorkshire,,
00FBPB,South Hunsley,541,East Riding of Yorkshire,,
00FBPC,South West Holderness,541,East Riding of Yorkshire,,
00FBPD,Tranby,541,East Riding of Yorkshire,,
00FBPE,Willerby and Kirk Ella,541,East Riding of Yorkshire,,
00FBPF,Wolds Weighton,541,East Riding of Yorkshire,,
00FCMQ,Croft Baker,548,North-East Lincolnshire,,
00FCMR,East Marsh,548,North-East Lincolnshire,,
00FCMS,Freshney,548,North-East Lincolnshire,,
00FCMT,Haverstoe,548,North-East Lincolnshire,,
00FCMU,Heneage,548,North-East Lincolnshire,,
00FCMW,Humberston and New Waltham,548,North-East Lincolnshire,,
00FCMX,Immingham,548,North-East Lincolnshire,,
00FCMY,Park,548,North-East Lincolnshire,,
00FCMZ,Scartho,548,North-East Lincolnshire,,
00FCNA,Sidney Sussex,548,North-East Lincolnshire,,
00FCNB,South,548,North-East Lincolnshire,,
00FCNC,Waltham,548,North-East Lincolnshire,,
00FCND,West Marsh,548,North-East Lincolnshire,,
00FCNE,Wolds,548,North-East Lincolnshire,,
00FCNF,Yarborough,548,North-East Lincolnshire,,
00FDMR,Ashby,554,North Lincolnshire,,
00FDMS,Axholme Central,554,North Lincolnshire,,
00FDMT,Axholme North,554,North Lincolnshire,,
00FDMU,Axholme South,554,North Lincolnshire,,
00FDMW,Barton,554,North Lincolnshire,,
00FDMX,Bottesford,554,North Lincolnshire,,
00FDMY,Brigg and Wolds,554,North Lincolnshire,,
00FDMZ,Broughton and Appleby,554,North Lincolnshire,,
00FDNA,Brumby,554,North Lincolnshire,,
00FDNB,Burringham and Gunness,554,North Lincolnshire,,
00FDNC,Burton upon Stather and Winterton,554,North Lincolnshire,,
00FDND,Crosby and Park,554,North Lincolnshire,,
00FDNE,Ferry,554,North Lincolnshire,,
00FDNF,Frodingham,554,North Lincolnshire,,
00FDNG,Kingsway with Lincoln Gardens,554,North Lincolnshire,,
00FDNH,Ridge,554,North Lincolnshire,,
00FDNJ,Town,554,North Lincolnshire,,
00FFNG,Acomb,661,York,,
00FFNH,Bishopthorpe,661,York,,
00FFNJ,Clifton,661,York,,
00FFNK,Derwent,661,York,,
00FFNL,Dringhouses and Woodthorpe,661,York,,
00FFNM,Fishergate,661,York,,
00FFNN,Fulford,661,York,,
00FFNP,Guildhall,661,York,,
00FFNQ,Haxby and Wigginton,661,York,,
00FFNR,Heslington,661,York,,
00FFNS,Heworth,661,York,,
00FFNT,Heworth Without,661,York,,
00FFNU,Holgate,661,York,,
00FFNW,Hull Road,661,York,,
00FFNX,Huntington and New Earswick,661,York,,
00FFNY,Micklegate,661,York,,
00FFNZ,Osbaldwick,661,York,,
00FFPA,Rural West York,661,York,,
00FFPB,"Skelton, Rawcliffe and Clifton Without",661,York,,
00FFPC,Strensall,661,York,,
00FFPD,Westfield,661,York,,
00FFPE,Wheldrake,661,York,,
00FKMX,Abbey,394,Derby,,
00FKMY,Allestree,394,Derby,,
00FKMZ,Alvaston,394,Derby,,
00FKNA,Arboretum,394,Derby,,
00FKNB,Blagreaves,394,Derby,,
00FKNC,Boulton,394,Derby,,
00FKND,Chaddesden,394,Derby,,
00FKNE,Chellaston,394,Derby,,
00FKNF,Darley,394,Derby,,
00FKNG,Derwent,394,Derby,,
00FKNH,Littleover,394,Derby,,
00FKNJ,Mackworth,394,Derby,,
00FKNK,Mickleover,394,Derby,,
00FKNL,Normanton,394,Derby,,
00FKNM,Oakwood,394,Derby,,
00FKNN,Sinfin,394,Derby,,
00FKNP,Spondon,394,Derby,,
00FNNF,Abbey,600,Leicester,,
00FNNG,Aylestone,600,Leicester,,
00FNNH,Beaumont Leys,600,Leicester,,
00FNNJ,Belgrave,600,Leicester,,
00FNNK,Braunstone Park and Rowley Fields,600,Leicester,,
00FNNL,Castle,600,Leicester,,
00FNNM,Charnwood,600,Leicester,,
00FNNN,Coleman,600,Leicester,,
00FNNP,Evington,600,Leicester,,
00FNNQ,Eyres Monsell,600,Leicester,,
00FNNR,Fosse,600,Leicester,,
00FNNS,Freemen,600,Leicester,,
00FNNT,Humberstone and Hamilton,600,Leicester,,
00FNNU,Knighton,600,Leicester,,
00FNNW,Latimer,600,Leicester,,
00FNNX,New Parks,600,Leicester,,
00FNNY,Rushey Mead,600,Leicester,,
00FNNZ,Spinney Hills,600,Leicester,,
00FNPA,Stoneygate,600,Leicester,,
00FNPB,Thurncourt,600,Leicester,,
00FNPC,Westcotes,600,Leicester,,
00FNPD,Western Park,600,Leicester,,
00FPMS,Braunston and Belton,604,Rutland,,
00FPMT,Cottesmore,604,Rutland,,
00FPMU,Exton,604,Rutland,,
00FPMW,Greetham,604,Rutland,,
00FPMX,Ketton,604,Rutland,,
00FPMY,Langham,604,Rutland,,
00FPMZ,Lyddington,604,Rutland,,
00FPNA,Martinsthorpe,604,Rutland,,
00FPNB,Normanton,604,Rutland,,
00FPNC,Oakham North East,604,Rutland,,
00FPND,Oakham North West,604,Rutland,,
00FPNE,Oakham South East,604,Rutland,,
00FPNF,Oakham South West,604,Rutland,,
00FPNG,Ryhall and Casterton,604,Rutland,,
00FPNH,Uppingham,604,Rutland,,
00FPNJ,Whissendine,604,Rutland,,
00FYNE,Arboretum,689,Nottingham,,
00FYNF,Aspley,689,Nottingham,,
00FYNG,Basford,689,Nottingham,,
00FYNH,Berridge,689,Nottingham,,
00FYNJ,Bestwood,689,Nottingham,,
00FYNK,Bilborough,689,Nottingham,,
00FYNL,Bridge,689,Nottingham,,
00FYNM,Bulwell,689,Nottingham,,
00FYNN,Bulwell Forest,689,Nottingham,,
00FYNP,Clifton North,689,Nottingham,,
00FYNQ,Clifton South,689,Nottingham,,
00FYNR,Dales,689,Nottingham,,
00FYNS,Dunkirk and Lenton,689,Nottingham,,
00FYNT,Leen Valley,689,Nottingham,,
00FYNU,Mapperley,689,Nottingham,,
00FYNW,Radford and Park,689,Nottingham,,
00FYNX,St Ann's,689,Nottingham,,
00FYNY,Sherwood,689,Nottingham,,
00FYNZ,Wollaton East and Lenton Abbey,689,Nottingham,,
00FYPA,Wollaton West,689,Nottingham,,
00GANY,Aylestone,511,Herefordshire,,
00GANZ,Backbury,511,Herefordshire,,
00GAPA,Belmont,511,Herefordshire,,
00GAPB,Bircher,511,Herefordshire,,
00GAPC,Bringsty,511,Herefordshire,,
00GAPD,Bromyard,511,Herefordshire,,
00GAPE,"Burghill, Holmer and Lyde",511,Herefordshire,,
00GAPF,Castle,511,Herefordshire,,
00GAPG,Central,511,Herefordshire,,
00GAPH,Credenhill,511,Herefordshire,,
00GAPJ,Frome,511,Herefordshire,,
00GAPK,Golden Cross with Weobley,511,Herefordshire,,
00GAPL,Golden Valley North,511,Herefordshire,,
00GAPM,Golden Valley South,511,Herefordshire,,
00GAPN,Hagley,511,Herefordshire,,
00GAPP,Hampton Court,511,Herefordshire,,
00GAPQ,Hollington,511,Herefordshire,,
00GAPR,Hope End,511,Herefordshire,,
00GAPS,Kerne Bridge,511,Herefordshire,,
00GAPT,Kington Town,511,Herefordshire,,
00GAPU,Ledbury,511,Herefordshire,,
00GAPW,Leominster North,511,Herefordshire,,
00GAPX,Leominster South,511,Herefordshire,,
00GAPY,Llangarron,511,Herefordshire,,
00GAPZ,Mortimer,511,Herefordshire,,
00GAQA,Old Gore,511,Herefordshire,,
00GAQB,Pembridge and Lyonshall with Titley,511,Herefordshire,,
00GAQC,Penyard,511,Herefordshire,,
00GAQD,Pontrilas,511,Herefordshire,,
00GAQE,Ross-on-Wye East,511,Herefordshire,,
00GAQF,Ross-on-Wye West,511,Herefordshire,,
00GAQG,St Martins and Hinton,511,Herefordshire,,
00GAQH,St Nicholas,511,Herefordshire,,
00GAQJ,Stoney Street,511,Herefordshire,,
00GAQK,Sutton Walls,511,Herefordshire,,
00GAQL,Three Elms,511,Herefordshire,,
00GAQM,Tupsley,511,Herefordshire,,
00GAQN,Upton,511,Herefordshire,,
00GAQP,Valletts,511,Herefordshire,,
00GAQQ,Wormsley Ridge,511,Herefordshire,,
00GFNM,Apley Castle,716,Telford and Wrekin,,
00GFNN,Arleston,716,Telford and Wrekin,,
00GFNP,Brookside,716,Telford and Wrekin,,
00GFNQ,Church Aston and Lilleshall,716,Telford and Wrekin,,
00GFNR,College,716,Telford and Wrekin,,
00GFNS,Cuckoo Oak,716,Telford and Wrekin,,
00GFNT,Dawley Magna,716,Telford and Wrekin,,
00GFNU,Donnington,716,Telford and Wrekin,,
00GFNW,Dothill,716,Telford and Wrekin,,
00GFNX,Edgmond,716,Telford and Wrekin,,
00GFNY,Ercall,716,Telford and Wrekin,,
00GFNZ,Ercall Magna,716,Telford and Wrekin,,
00GFPA,Hadley and Leegomery,716,Telford and Wrekin,,
00GFPB,Haygate,716,Telford and Wrekin,,
00GFPC,Horsehay and Lightmoor,716,Telford and Wrekin,,
00GFPD,Ironbridge Gorge,716,Telford and Wrekin,,
00GFPE,Ketley and Oakengates,716,Telford and Wrekin,,
00GFPF,Lawley and Overdale,716,Telford and Wrekin,,
00GFPG,Madeley,716,Telford and Wrekin,,
00GFPH,Malinslee,716,Telford and Wrekin,,
00GFPJ,Muxton,716,Telford and Wrekin,,
00GFPK,Newport East,716,Telford and Wrekin,,
00GFPL,Newport North,716,Telford and Wrekin,,
00GFPM,Newport South,716,Telford and Wrekin,,
00GFPN,Newport West,716,Telford and Wrekin,,
00GFPP,Park,716,Telford and Wrekin,,
00GFPQ,Priorslee,716,Telford and Wrekin,,
00GFPR,St Georges,716,Telford and Wrekin,,
00GFPS,Shawbirch,716,Telford and Wrekin,,
00GFPT,The Nedge,716,Telford and Wrekin,,
00GFPU,Woodside,716,Telford and Wrekin,,
00GFPW,Wrockwardine,716,Telford and Wrekin,,
00GFPX,Wrockwardine Wood and Trench,716,Telford and Wrekin,,
00GLMX,Abbey Green,737,Stoke-on-Trent,,
00GLMY,Bentilee and Townsend,737,Stoke-on-Trent,,
00GLMZ,Berryhill and Hanley East,737,Stoke-on-Trent,,
00GLNA,Blurton,737,Stoke-on-Trent,,
00GLNB,Burslem North,737,Stoke-on-Trent,,
00GLNC,Burslem South,737,Stoke-on-Trent,,
00GLND,Chell and Packmoor,737,Stoke-on-Trent,,
00GLNE,East Valley,737,Stoke-on-Trent,,
00GLNF,Fenton,737,Stoke-on-Trent,,
00GLNG,Hanley West and Shelton,737,Stoke-on-Trent,,
00GLNH,Hartshill and Penkhull,737,Stoke-on-Trent,,
00GLNJ,Longton North,737,Stoke-on-Trent,,
00GLNK,Longton South,737,Stoke-on-Trent,,
00GLNL,Meir Park and Sandon,737,Stoke-on-Trent,,
00GLNM,Northwood and Birches Head,737,Stoke-on-Trent,,
00GLNN,Norton and Bradeley,737,Stoke-on-Trent,,
00GLNP,Stoke and Trent Vale,737,Stoke-on-Trent,,
00GLNQ,Trentham and Hanford,737,Stoke-on-Trent,,
00GLNR,Tunstall,737,Stoke-on-Trent,,
00GLNS,Weston and Meir North,737,Stoke-on-Trent,,
00HANP,Abbey,300,Bath and North East Somerset,,
00HANQ,Bathavon North,300,Bath and North East Somerset,,
00HANR,Bathavon South,300,Bath and North East Somerset,,
00HANS,Bathavon West,300,Bath and North East Somerset,,
00HANT,Bathwick,300,Bath and North East Somerset,,
00HANU,Chew Valley North,300,Bath and North East Somerset,,
00HANW,Chew Valley South,300,Bath and North East Somerset,,
00HANX,Clutton,300,Bath and North East Somerset,,
00HANY,Combe Down,300,Bath and North East Somerset,,
00HANZ,Farmborough,300,Bath and North East Somerset,,
00HAPA,High Littleton,300,Bath and North East Somerset,,
00HAPB,Keynsham East,300,Bath and North East Somerset,,
00HAPC,Keynsham North,300,Bath and North East Somerset,,
00HAPD,Keynsham South,300,Bath and North East Somerset,,
00HAPE,Kingsmead,300,Bath and North East Somerset,,
00HAPF,Lambridge,300,Bath and North East Somerset,,
00HAPG,Lansdown,300,Bath and North East Somerset,,
00HAPH,Lyncombe,300,Bath and North East Somerset,,
00HAPJ,Mendip,300,Bath and North East Somerset,,
00HAPK,Midsomer Norton North,300,Bath and North East Somerset,,
00HAPL,Midsomer Norton Redfield,300,Bath and North East Somerset,,
00HAPM,Newbridge,300,Bath and North East Somerset,,
00HAPN,Odd Down,300,Bath and North East Somerset,,
00HAPP,Oldfield,300,Bath and North East Somerset,,
00HAPQ,Paulton,300,Bath and North East Somerset,,
00HAPR,Peasedown,300,Bath and North East Somerset,,
00HAPS,Publow and Whitchurch,300,Bath and North East Somerset,,
00HAPT,Radstock,300,Bath and North East Somerset,,
00HAPU,Saltford,300,Bath and North East Somerset,,
00HAPW,Southdown,300,Bath and North East Somerset,,
00HAPX,Timsbury,300,Bath and North East Somerset,,
00HAPY,Twerton,300,Bath and North East Somerset,,
00HAPZ,Walcot,300,Bath and North East Somerset,,
00HAQA,Westfield,300,Bath and North East Somerset,,
00HAQB,Westmoreland,300,Bath and North East Somerset,,
00HAQC,Weston,300,Bath and North East Somerset,,
00HAQD,Widcombe,300,Bath and North East Somerset,,
00HBNM,Ashley,301,Bristol,,
00HBNN,Avonmouth,301,Bristol,,
00HBNP,Bedminster,301,Bristol,,
00HBNQ,Bishopston,301,Bristol,,
00HBNR,Bishopsworth,301,Bristol,,
00HBNS,Brislington East,301,Bristol,,
00HBNT,Brislington West,301,Bristol,,
00HBNU,Cabot,301,Bristol,,
00HBNW,Clifton,301,Bristol,,
00HBNX,Clifton East,301,Bristol,,
00HBNY,Cotham,301,Bristol,,
00HBNZ,Easton,301,Bristol,,
00HBPA,Eastville,301,Bristol,,
00HBPB,Filwood,301,Bristol,,
00HBPC,Frome Vale,301,Bristol,,
00HBPD,Hartcliffe,301,Bristol,,
00HBPE,Henbury,301,Bristol,,
00HBPF,Hengrove,301,Bristol,,
00HBPG,Henleaze,301,Bristol,,
00HBPH,Hillfields,301,Bristol,,
00HBPJ,Horfield,301,Bristol,,
00HBPK,Kingsweston,301,Bristol,,
00HBPL,Knowle,301,Bristol,,
