WDSTB03CD,WDSTB03NM,WDCAS03CD,WDCAS03NM,WDSTL03CD,WDSTL03NM
00EHNH,Eastbourne,00EHNH,Eastbourne,00EHNH,Eastbourne
00EHNJ,Faverdale,00EHNJ,Faverdale,00EHNJ,Faverdale
00EHNK,Harrowgate Hill,00EHNK,Harrowgate Hill,00EHNK,Harrowgate Hill
00EHNL,Haughton East,00EHNL,Haughton East,00EHNL,Haughton East
00EHNM,Haughton North,00EHNM,Haughton North,00EHNM,Haughton North
00EHNN,Haughton West,00EHNN,Haughton West,00EHNN,Haughton West
00EHNP,Heighington and Coniscliffe,00EHNP,Heighington and Coniscliffe,00EHNP,Heighington and Coniscliffe
00EHNQ,Hummersknott,00EHNQ,Hummersknott,00EHNQ,Hummersknott
00EHNR,Hurworth,00EHNR,Hurworth,00EHNR,Hurworth
00EHNS,Lascelles,00EHNS,Lascelles,00EHNS,Lascelles
00EHNT,Lingfield,00EHNT,Lingfield,00EHNT,Lingfield
00EHNU,Middleton St George,00EHNU,Middleton St George,00EHNU,Middleton St George
00EHNW,Mowden,00EHNW,Mowden,00EHNW,Mowden
00EHNX,North Road,00EHNX,North Road,00EHNX,North Road
00EHNY,Northgate,00EHNY,Northgate,00EHNY,Northgate
00EHNZ,Park East,00EHNZ,Park East,00EHNZ,Park East
00EHPA,Park West,00EHPA,Park West,00EHPA,Park West
00EHPB,Pierremont,00EHPB,Pierremont,00EHPB,Pierremont
00EHPC,Sadberge and Whessoe,00EHPC,Sadberge and Whessoe,00EHPC,Sadberge and Whessoe
00ETMY,Appleton,00ETMY,Appleton,00ETMY,Appleton
00ETMZ,Beechwood,00ETMZ,Beechwood,00ETMZ,Beechwood
00ETNA,Birchfield,00ETNA,Birchfield,00ETNA,Birchfield
00ETNB,Broadheath,00ETNB,Broadheath,00ETNB,Broadheath
00ETNC,Castlefields,00ETNC,Castlefields,00ETNC,Castlefields
00ETND,Daresbury,00ETND,Daresbury,00ETND,Daresbury
00ETNE,Ditton,00ETNE,Ditton,00ETNE,Ditton
00ETNF,Farnworth,00ETNF,Farnworth,00ETNF,Farnworth
00ETNG,Grange,00ETNG,Grange,00ETNG,Grange
00ETNH,Hale,00ETNH,Hale,00ETNH,Hale
00ETNJ,Halton Brook,00ETNJ,Halton Brook,00ETNJ,Halton Brook
00ETNK,Halton Lea,00ETNK,Halton Lea,00ETNK,Halton Lea
00ETNL,Halton View,00ETNL,Halton View,00ETNL,Halton View
00ETNM,Heath,00ETNM,Heath,00ETNM,Heath
00ETNN,Hough Green,00ETNN,Hough Green,00ETNN,Hough Green
00ETNP,Kingsway,00ETNP,Kingsway,00ETNP,Kingsway
00ETNQ,Mersey,00ETNQ,Mersey,00ETNQ,Mersey
00ETNR,Norton North,00ETNR,Norton North,00ETNR,Norton North
00ETNS,Norton South,00ETNS,Norton South,00ETNS,Norton South
00ETNT,Riverside,00ETNT,Riverside,00ETNT,Riverside
00ETNU,Windmill Hill,00ETNU,Windmill Hill,00ETNU,Windmill Hill
00EUNB,Appleton,00EUNB,Appleton,00EUNB,Appleton
00EUNC,Bewsey and Whitecross,00EUNC,Bewsey and Whitecross,00EUNC,Bewsey and Whitecross
00EUND,Birchwood,00EUND,Birchwood,00EUND,Birchwood
00EUNE,Burtonwood and Winwick,00EUNE,Burtonwood and Winwick,00EUNE,Burtonwood and Winwick
00EUNF,"Culcheth, Glazebury and Croft",00EUNF,"Culcheth, Glazebury and Croft",00EUNF,"Culcheth, Glazebury and Croft"
00EUNG,Fairfield and Howley,00EUNG,Fairfield and Howley,00EUNG,Fairfield and Howley
00EUNH,Grappenhall and Thelwall,00EUNH,Grappenhall and Thelwall,00EUNH,Grappenhall and Thelwall
00EUNJ,Great Sankey North,00EUNJ,Great Sankey North,00EUNJ,Great Sankey North
00EUNK,Great Sankey South,00EUNK,Great Sankey South,00EUNK,Great Sankey South
00EUNL,"Hatton, Stretton and Walton",00EUNL,"Hatton, Stretton and Walton",00EUNL,"Hatton, Stretton and Walton"
00EUNM,Latchford East,00EUNM,Latchford East,00EUNM,Latchford East
00EUNN,Latchford West,00EUNN,Latchford West,00EUNN,Latchford West
00EUNP,Lymm,00EUNP,Lymm,00EUNP,Lymm
00EUNQ,Orford,00EUNQ,Orford,00EUNQ,Orford
00EUNR,Penketh and Cuerdley,00EUNR,Penketh and Cuerdley,00EUNR,Penketh and Cuerdley
00EUNS,Poplars and Hulme,00EUNS,Poplars and Hulme,00EUNS,Poplars and Hulme
00EUNT,Poulton North,00EUNT,Poulton North,00EUNT,Poulton North
00EUNU,Poulton South,00EUNU,Poulton South,00EUNU,Poulton South
00EUNW,Rixton and Woolston,00EUNW,Rixton and Woolston,00EUNW,Rixton and Woolston
00EUNX,Stockton Heath,00EUNX,Stockton Heath,00EUNX,Stockton Heath
00EUNY,Westbrook,00EUNY,Westbrook,00EUNY,Westbrook
00EUNZ,Whittle Hall,00EUNZ,Whittle Hall,00EUNZ,Whittle Hall
00EXMZ,Audley,00EXMZ,Audley,00EXMZ,Audley
00EXNA,Bastwell,00EXNA,Bastwell,00EXNA,Bastwell
00EXNB,Beardwood with Lammack,00EXNB,Beardwood with Lammack,00EXNB,Beardwood with Lammack
00EXNC,Corporation Park,00EXNC,Corporation Park,00EXNC,Corporation Park
00EXND,Earcroft,00EXND,Earcroft,00EXND,Earcroft
00EXNE,East Rural,00EXNE,East Rural,00EXNE,East Rural
00EXNF,Ewood,00EXNF,Ewood,00EXNF,Ewood
00EXNG,Fernhurst,00EXNG,Fernhurst,00EXNG,Fernhurst
00EXNH,Higher Croft,00EXNH,Higher Croft,00EXNH,Higher Croft
00EXNJ,Little Harwood,00EXNJ,Little Harwood,00EXNJ,Little Harwood
00EXNK,Livesey with Pleasington,00EXNK,Livesey with Pleasington,00EXNK,Livesey with Pleasington
00EXNL,Marsh House,00EXNL,Marsh House,00EXNL,Marsh House
00EXNM,Meadowhead,00EXNM,Meadowhead,00EXNM,Meadowhead
00EXNN,Mill Hill,00EXNN,Mill Hill,00EXNN,Mill Hill
00EXNP,North Turton with Tockholes,00EXNP,North Turton with Tockholes,00EXNP,North Turton with Tockholes
00EXNQ,Queen's Park,00EXNQ,Queen's Park,00EXNQ,Queen's Park
00EXNR,Roe Lee,00EXNR,Roe Lee,00EXNR,Roe Lee
00EXNS,Shadsworth with Whitebirk,00EXNS,Shadsworth with Whitebirk,00EXNS,Shadsworth with Whitebirk
00EXNT,Shear Brow,00EXNT,Shear Brow,00EXNT,Shear Brow
00EXNU,Sudell,00EXNU,Sudell,00EXNU,Sudell
00EXNW,Sunnyhurst,00EXNW,Sunnyhurst,00EXNW,Sunnyhurst
00EXNX,Wensley Fold,00EXNX,Wensley Fold,00EXNX,Wensley Fold
00EXNY,Whitehall,00EXNY,Whitehall,00EXNY,Whitehall
00EYMZ,Anchorsholme,00EYMZ,Anchorsholme,00EYMZ,Anchorsholme
00EYNA,Bispham,00EYNA,Bispham,00EYNA,Bispham
00EYNB,Bloomfield,00EYNB,Bloomfield,00EYNB,Bloomfield
00EYNC,Brunswick,00EYNC,Brunswick,00EYNC,Brunswick
00EYND,Claremont,00EYND,Claremont,00EYND,Claremont
00EYNE,Clifton,00EYNE,Clifton,00EYNE,Clifton
00EYNF,Greenlands,00EYNF,Greenlands,00EYNF,Greenlands
00EYNG,Hawes Side,00EYNG,Hawes Side,00EYNG,Hawes Side
00EYNH,Highfield,00EYNH,Highfield,00EYNH,Highfield
00EYNJ,Ingthorpe,00EYNJ,Ingthorpe,00EYNJ,Ingthorpe
00EYNK,Layton,00EYNK,Layton,00EYNK,Layton
00EYNL,Marton,00EYNL,Marton,00EYNL,Marton
00EYNM,Norbreck,00EYNM,Norbreck,00EYNM,Norbreck
00EYNN,Park,00EYNN,Park,00EYNN,Park
00EYNP,Squires Gate,00EYNP,Squires Gate,00EYNP,Squires Gate
00EYNQ,Stanley,00EYNQ,Stanley,00EYNQ,Stanley
00EYNR,Talbot,00EYNR,Talbot,00EYNR,Talbot
00EYNS,Tyldesley,00EYNS,Tyldesley,00EYNS,Tyldesley
00EYNT,Victoria,00EYNT,Victoria,00EYNT,Victoria
00EYNU,Warbreck,00EYNU,Warbreck,00EYNU,Warbreck
00EYNW,Waterloo,00EYNW,Waterloo,00EYNW,Waterloo
00FAMX,Avenue,00FAMX,Avenue,00FAMX,Avenue
00FAMY,Beverley,00FAMY,Beverley,00FAMY,Beverley
00FAMZ,Boothferry,00FAMZ,Boothferry,00FAMZ,Boothferry
00FANA,Bransholme East,00FANA,Bransholme East,00FANA,Bransholme East
00FANB,Bransholme West,00FANB,Bransholme West,00FANB,Bransholme West
00FANC,Bricknell,00FANC,Bricknell,00FANC,Bricknell
00FAND,Derringham,00FAND,Derringham,00FAND,Derringham
00FANE,Drypool,00FANE,Drypool,00FANE,Drypool
00FANF,Holderness,00FANF,Holderness,00FANF,Holderness
00FANG,Ings,00FANG,Ings,00FANG,Ings
00FANH,Kings Park,00FANH,Kings Park,00FANH,Kings Park
00FANJ,Longhill,00FANJ,Longhill,00FANJ,Longhill
00FANK,Marfleet,00FANK,Marfleet,00FANK,Marfleet
00FANL,Myton,00FANL,Myton,00FANL,Myton
00FANM,Newington,00FANM,Newington,00FANM,Newington
00FANN,Newland,00FANN,Newland,00FANN,Newland
00FANP,Orchard Park and Greenwood,00FANP,Orchard Park and Greenwood,00FANP,Orchard Park and Greenwood
00FANQ,Pickering,00FANQ,Pickering,00FANQ,Pickering
00FANR,St Andrew's,00FANR,St Andrew's,00FANR,St Andrew's
00FANS,Southcoates East,00FANS,Southcoates East,00FANS,Southcoates East
00FANT,Southcoates West,00FANT,Southcoates West,00FANT,Southcoates West
00FANU,Sutton,00FANU,Sutton,00FANU,Sutton
00FANW,University,00FANW,University,00FANW,University
00FBND,Beverley Rural,00FBND,Beverley Rural,00FBND,Beverley Rural
00FBNE,Bridlington Central and Old Town,00FBNE,Bridlington Central and Old Town,00FBNE,Bridlington Central and Old Town
00FBNF,Bridlington North,00FBNF,Bridlington North,00FBNF,Bridlington North
00FBNG,Bridlington South,00FBNG,Bridlington South,00FBNG,Bridlington South
00FBNH,Cottingham North,00FBNH,Cottingham North,00FBNH,Cottingham North
00FBNJ,Cottingham South,00FBNJ,Cottingham South,00FBNJ,Cottingham South
00FBNK,Dale,00FBNK,Dale,00FBNK,Dale
00FBNL,Driffield and Rural,00FBNL,Driffield and Rural,00FBNL,Driffield and Rural
00FBNM,East Wolds and Coastal,00FBNM,East Wolds and Coastal,00FBNM,East Wolds and Coastal
00FBNN,Goole North,00FBNN,Goole North,00FBNN,Goole North
00FBNP,Goole South,00FBNP,Goole South,00FBNP,Goole South
00FBNQ,Hessle,00FBNQ,Hessle,00FBNQ,Hessle
00FBNR,Howden,00FBNR,Howden,00FBNR,Howden
00FBNS,Howdenshire,00FBNS,Howdenshire,00FBNS,Howdenshire
00FBNT,Mid Holderness,00FBNT,Mid Holderness,00FBNT,Mid Holderness
00FBNU,Minster and Woodmansey,00FBNU,Minster and Woodmansey,00FBNU,Minster and Woodmansey
00FBNW,North Holderness,00FBNW,North Holderness,00FBNW,North Holderness
00FBNX,Pocklington Provincial,00FBNX,Pocklington Provincial,00FBNX,Pocklington Provincial
00FBNY,St Mary's,00FBNY,St Mary's,00FBNY,St Mary's
00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland"
00FBPA,South East Holderness,00FBPA,South East Holderness,00FBPA,South East Holderness
00FBPB,South Hunsley,00FBPB,South Hunsley,00FBPB,South Hunsley
00FBPC,South West Holderness,00FBPC,South West Holderness,00FBPC,South West Holderness
00FBPD,Tranby,00FBPD,Tranby,00FBPD,Tranby
00FBPE,Willerby and Kirk Ella,00FBPE,Willerby and Kirk Ella,00FBPE,Willerby and Kirk Ella
00FBPF,Wolds Weighton,00FBPF,Wolds Weighton,00FBPF,Wolds Weighton
00FCMQ,Croft Baker,00FCMQ,Croft Baker,00FCMQ,Croft Baker
00FCMR,East Marsh,00FCMR,East Marsh,00FCMR,East Marsh
00FCMS,Freshney,00FCMS,Freshney,00FCMS,Freshney
00FCMT,Haverstoe,00FCMT,Haverstoe,00FCMT,Haverstoe
00FCMU,Heneage,00FCMU,Heneage,00FCMU,Heneage
00FCMW,Humberston and New Waltham,00FCMW,Humberston and New Waltham,00FCMW,Humberston and New Waltham
00FCMX,Immingham,00FCMX,Immingham,00FCMX,Immingham
00FCMY,Park,00FCMY,Park,00FCMY,Park
00FCMZ,Scartho,00FCMZ,Scartho,00FCMZ,Scartho
00FCNA,Sidney Sussex,00FCNA,Sidney Sussex,00FCNA,Sidney Sussex
00FCNB,South,00FCNB,South,00FCNB,South
00FCNC,Waltham,00FCNC,Waltham,00FCNC,Waltham
00FCND,West Marsh,00FCND,West Marsh,00FCND,West Marsh
00FCNE,Wolds,00FCNE,Wolds,00FCNE,Wolds
00FCNF,Yarborough,00FCNF,Yarborough,00FCNF,Yarborough
00FDMR,Ashby,00FDMR,Ashby,00FDMR,Ashby
00FDMS,Axholme Central,00FDMS,Axholme Central,00FDMS,Axholme Central
00FDMT,Axholme North,00FDMT,Axholme North,00FDMT,Axholme North
00FDMU,Axholme South,00FDMU,Axholme South,00FDMU,Axholme South
00FDMW,Barton,00FDMW,Barton,00FDMW,Barton
00FDMX,Bottesford,00FDMX,Bottesford,00FDMX,Bottesford
00FDMY,Brigg and Wolds,00FDMY,Brigg and Wolds,00FDMY,Brigg and Wolds
00FDMZ,Broughton and Appleby,00FDMZ,Broughton and Appleby,00FDMZ,Broughton and Appleby
00FDNA,Brumby,00FDNA,Brumby,00FDNA,Brumby
00FDNB,Burringham and Gunness,00FDNB,Burringham and Gunness,00FDNB,Burringham and Gunness
00FDNC,Burton upon Stather and Winterton,00FDNC,Burton upon Stather and Winterton,00FDNC,Burton upon Stather and Winterton
00FDND,Crosby and Park,00FDND,Crosby and Park,00FDND,Crosby and Park
00FDNE,Ferry,00FDNE,Ferry,00FDNE,Ferry
00FDNF,Frodingham,00FDNF,Frodingham,00FDNF,Frodingham
00FDNG,Kingsway with Lincoln Gardens,00FDNG,Kingsway with Lincoln Gardens,00FDNG,Kingsway with Lincoln Gardens
00FDNH,Ridge,00FDNH,Ridge,00FDNH,Ridge
00FDNJ,Town,00FDNJ,Town,00FDNJ,Town
00FFNG,Acomb,00FFNG,Acomb,00FFNG,Acomb
00FFNH,Bishopthorpe,00FFNH,Bishopthorpe,00FFNH,Bishopthorpe
00FFNJ,Clifton,00FFNJ,Clifton,00FFNJ,Clifton
00FFNK,Derwent,00FFNK,Derwent,00FFNK,Derwent
00FFNL,Dringhouses and Woodthorpe,00FFNL,Dringhouses and Woodthorpe,00FFNL,Dringhouses and Woodthorpe
00FFNM,Fishergate,00FFNM,Fishergate,00FFNM,Fishergate
00FFNN,Fulford,00FFNN,Fulford,00FFNN,Fulford
00FFNP,Guildhall,00FFNP,Guildhall,00FFNP,Guildhall
00FFNQ,Haxby and Wigginton,00FFNQ,Haxby and Wigginton,00FFNQ,Haxby and Wigginton
00FFNR,Heslington,00FFNR,Heslington,00FFNR,Heslington
00FFNS,Heworth,00FFNS,Heworth,00FFNS,Heworth
00FFNT,Heworth Without,00FFNT,Heworth Without,00FFNT,Heworth Without
00FFNU,Holgate,00FFNU,Holgate,00FFNU,Holgate
00FFNW,Hull Road,00FFNW,Hull Road,00FFNW,Hull Road
00FFNX,Huntington and New Earswick,00FFNX,Huntington and New Earswick,00FFNX,Huntington and New Earswick
00FFNY,Micklegate,00FFNY,Micklegate,00FFNY,Micklegate
00FFNZ,Osbaldwick,00FFNZ,Osbaldwick,00FFNZ,Osbaldwick
00FFPA,Rural West York,00FFPA,Rural West York,00FFPA,Rural West York
00FFPB,"Skelton, Rawcliffe and Clifton Without",00FFPB,"Skelton, Rawcliffe and Clifton Without",00FFPB,"Skelton, Rawcliffe and Clifton Without"
00FFPC,Strensall,00FFPC,Strensall,00FFPC,Strensall
00FFPD,Westfield,00FFPD,Westfield,00FFPD,Westfield
00FFPE,Wheldrake,00FFPE,Wheldrake,00FFPE,Wheldrake
00FKMX,Abbey,00FKMX,Abbey,00FKMX,Abbey
00FKMY,Allestree,00FKMY,Allestree,00FKMY,Allestree
00FKMZ,Alvaston,00FKMZ,Alvaston,00FKMZ,Alvaston
00FKNA,Arboretum,00FKNA,Arboretum,00FKNA,Arboretum
00FKNB,Blagreaves,00FKNB,Blagreaves,00FKNB,Blagreaves
00FKNC,Boulton,00FKNC,Boulton,00FKNC,Boulton
00FKND,Chaddesden,00FKND,Chaddesden,00FKND,Chaddesden
00FKNE,Chellaston,00FKNE,Chellaston,00FKNE,Chellaston
00FKNF,Darley,00FKNF,Darley,00FKNF,Darley
00FKNG,Derwent,00FKNG,Derwent,00FKNG,Derwent
00FKNH,Littleover,00FKNH,Littleover,00FKNH,Littleover
00FKNJ,Mackworth,00FKNJ,Mackworth,00FKNJ,Mackworth
00FKNK,Mickleover,00FKNK,Mickleover,00FKNK,Mickleover
00FKNL,Normanton,00FKNL,Normanton,00FKNL,Normanton
00FKNM,Oakwood,00FKNM,Oakwood,00FKNM,Oakwood
00FKNN,Sinfin,00FKNN,Sinfin,00FKNN,Sinfin
00FKNP,Spondon,00FKNP,Spondon,00FKNP,Spondon
00FNNF,Abbey,00FNNF,Abbey,00FNNF,Abbey
00FNNG,Aylestone,00FNNG,Aylestone,00FNNG,Aylestone
00FNNH,Beaumont Leys,00FNNH,Beaumont Leys,00FNNH,Beaumont Leys
00FNNJ,Belgrave,00FNNJ,Belgrave,00FNNJ,Belgrave
00FNNK,Braunstone Park and Rowley Fields,00FNNK,Braunstone Park and Rowley Fields,00FNNK,Braunstone Park and Rowley Fields
00FNNL,Castle,00FNNL,Castle,00FNNL,Castle
00FNNM,Charnwood,00FNNM,Charnwood,00FNNM,Charnwood
00FNNN,Coleman,00FNNN,Coleman,00FNNN,Coleman
00FNNP,Evington,00FNNP,Evington,00FNNP,Evington
00FNNQ,Eyres Monsell,00FNNQ,Eyres Monsell,00FNNQ,Eyres Monsell
00FNNR,Fosse,00FNNR,Fosse,00FNNR,Fosse
00FNNS,Freemen,00FNNS,Freemen,00FNNS,Freemen
00FNNT,Humberstone and Hamilton,00FNNT,Humberstone and Hamilton,00FNNT,Humberstone and Hamilton
00FNNU,Knighton,00FNNU,Knighton,00FNNU,Knighton
00FNNW,Latimer,00FNNW,Latimer,00FNNW,Latimer
00FNNX,New Parks,00FNNX,New Parks,00FNNX,New Parks
00FNNY,Rushey Mead,00FNNY,Rushey Mead,00FNNY,Rushey Mead
00FNNZ,Spinney Hills,00FNNZ,Spinney Hills,00FNNZ,Spinney Hills
00FNPA,Stoneygate,00FNPA,Stoneygate,00FNPA,Stoneygate
00FNPB,Thurncourt,00FNPB,Thurncourt,00FNPB,Thurncourt
00FNPC,Westcotes,00FNPC,Westcotes,00FNPC,Westcotes
00FNPD,Western Park,00FNPD,Western Park,00FNPD,Western Park
00FPMS,Braunston and Belton,00FPMS,Braunston and Belton,00FPMS,Braunston and Belton
00FPMT,Cottesmore,00FPMT,Cottesmore,00FPMT,Cottesmore
00FPMU,Exton,00FPMU,Exton,00FPMU,Exton
00FPMW,Greetham,00FPMW,Greetham,00FPMW,Greetham
00FPMX,Ketton,00FPMX,Ketton,00FPMX,Ketton
00FPMY,Langham,00FPMY,Langham,00FPMY,Langham
00FPMZ,Lyddington,00FPMZ,Lyddington,00FPMZ,Lyddington
00FPNA,Martinsthorpe,00FPNA,Martinsthorpe,00FPNA,Martinsthorpe
00FPNB,Normanton,00FPNB,Normanton,00FPNB,Normanton
00FPNC,Oakham North East,00FPNC,Oakham North East,00FPNC,Oakham North East
00FPND,Oakham North West,00FPND,Oakham North West,00FPND,Oakham North West
00FPNE,Oakham South East,00FPNE,Oakham South East,00FPNE,Oakham South East
00FPNF,Oakham South West,00FPNF,Oakham South West,00FPNF,Oakham South West
00FPNG,Ryhall and Casterton,00FPNG,Ryhall and Casterton,00FPNG,Ryhall and Casterton
00FPNH,Uppingham,00FPNH,Uppingham,00FPNH,Uppingham
00FPNJ,Whissendine,00FPNJ,Whissendine,00FPNJ,Whissendine
00FYNE,Arboretum,00FYNE,Arboretum,00FYNE,Arboretum
00FYNF,Aspley,00FYNF,Aspley,00FYNF,Aspley
00FYNG,Basford,00FYNG,Basford,00FYNG,Basford
00FYNH,Berridge,00FYNH,Berridge,00FYNH,Berridge
00FYNJ,Bestwood,00FYNJ,Bestwood,00FYNJ,Bestwood
00FYNK,Bilborough,00FYNK,Bilborough,00FYNK,Bilborough
00FYNL,Bridge,00FYNL,Bridge,00FYNL,Bridge
00FYNM,Bulwell,00FYNM,Bulwell,00FYNM,Bulwell
00FYNN,Bulwell Forest,00FYNN,Bulwell Forest,00FYNN,Bulwell Forest
00FYNP,Clifton North,00FYNP,Clifton North,00FYNP,Clifton North
00FYNQ,Clifton South,00FYNQ,Clifton South,00FYNQ,Clifton South
00FYNR,Dales,00FYNR,Dales,00FYNR,Dales
00FYNS,Dunkirk and Lenton,00FYNS,Dunkirk and Lenton,00FYNS,Dunkirk and Lenton
00FYNT,Leen Valley,00FYNT,Leen Valley,00FYNT,Leen Valley
00FYNU,Mapperley,00FYNU,Mapperley,00FYNU,Mapperley
00FYNW,Radford and Park,00FYNW,Radford and Park,00FYNW,Radford and Park
00FYNX,St Ann's,00FYNX,St Ann's,00FYNX,St Ann's
00FYNY,Sherwood,00FYNY,Sherwood,00FYNY,Sherwood
00FYNZ,Wollaton East and Lenton Abbey,00FYNZ,Wollaton East and Lenton Abbey,00FYNZ,Wollaton East and Lenton Abbey
00FYPA,Wollaton West,00FYPA,Wollaton West,00FYPA,Wollaton West
00GANY,Aylestone,00GANY,Aylestone,00GANY,Aylestone
00GANZ,Backbury,00GANZ,Backbury,00GANZ,Backbury
00GAPA,Belmont,00GAPA,Belmont,00GAPA,Belmont
00GAPB,Bircher,00GAPB,Bircher,00GAPB,Bircher
00GAPC,Bringsty,00GAPC,Bringsty,00GAPC,Bringsty
00GAPD,Bromyard,00GAPD,Bromyard,00GAPD,Bromyard
00GAPE,"Burghill, Holmer and Lyde",00GAPE,"Burghill, Holmer and Lyde",00GAPE,"Burghill, Holmer and Lyde"
00GAPF,Castle,00GAPF,Castle,00GAPF,Castle
00GAPG,Central,00GAPG,Central,00GAPG,Central
00GAPH,Credenhill,00GAPH,Credenhill,00GAPH,Credenhill
00GAPJ,Frome,00GAPJ,Frome,00GAPJ,Frome
00GAPK,Golden Cross with Weobley,00GAPK,Golden Cross with Weobley,00GAPK,Golden Cross with Weobley
00GAPL,Golden Valley North,00GAPL,Golden Valley North,00GAPL,Golden Valley North
00GAPM,Golden Valley South,00GAPM,Golden Valley South,00GAPM,Golden Valley South
00GAPN,Hagley,00GAPN,Hagley,00GAPN,Hagley
00GAPP,Hampton Court,00GAPP,Hampton Court,00GAPP,Hampton Court
00GAPQ,Hollington,00GAPQ,Hollington,00GAPQ,Hollington
00GAPR,Hope End,00GAPR,Hope End,00GAPR,Hope End
00GAPS,Kerne Bridge,00GAPS,Kerne Bridge,00GAPS,Kerne Bridge
00GAPT,Kington Town,00GAPT,Kington Town,00GAPT,Kington Town
00GAPU,Ledbury,00GAPU,Ledbury,00GAPU,Ledbury
00GAPW,Leominster North,00GAPW,Leominster North,00GAPW,Leominster North
00GAPX,Leominster South,00GAPX,Leominster South,00GAPX,Leominster South
00GAPY,Llangarron,00GAPY,Llangarron,00GAPY,Llangarron
00GAPZ,Mortimer,00GAPZ,Mortimer,00GAPZ,Mortimer
00GAQA,Old Gore,00GAQA,Old Gore,00GAQA,Old Gore
00GAQB,Pembridge and Lyonshall with Titley,00GAQB,Pembridge and Lyonshall with Titley,00GAQB,Pembridge and Lyonshall with Titley
00GAQC,Penyard,00GAQC,Penyard,00GAQC,Penyard
00GAQD,Pontrilas,00GAQD,Pontrilas,00GAQD,Pontrilas
00GAQE,Ross-on-Wye East,00GAQE,Ross-on-Wye East,00GAQE,Ross-on-Wye East
00GAQF,Ross-on-Wye West,00GAQF,Ross-on-Wye West,00GAQF,Ross-on-Wye West
00GAQG,St Martins and Hinton,00GAQG,St Martins and Hinton,00GAQG,St Martins and Hinton
00GAQH,St Nicholas,00GAQH,St Nicholas,00GAQH,St Nicholas
00GAQJ,Stoney Street,00GAQJ,Stoney Street,00GAQJ,Stoney Street
00GAQK,Sutton Walls,00GAQK,Sutton Walls,00GAQK,Sutton Walls
00GAQL,Three Elms,00GAQL,Three Elms,00GAQL,Three Elms
00GAQM,Tupsley,00GAQM,Tupsley,00GAQM,Tupsley
00GAQN,Upton,00GAQN,Upton,00GAQN,Upton
00GAQP,Valletts,00GAQP,Valletts,00GAQP,Valletts
00GAQQ,Wormsley Ridge,00GAQQ,Wormsley Ridge,00GAQQ,Wormsley Ridge
00GFNM,Apley Castle,00GFNM,Apley Castle,00GFNM,Apley Castle
00GFNN,Arleston,00GFNN,Arleston,00GFNN,Arleston
00GFNP,Brookside,00GFNP,Brookside,00GFNP,Brookside
00GFNQ,Church Aston and Lilleshall,00GFNQ,Church Aston and Lilleshall,00GFNQ,Church Aston and Lilleshall
00GFNR,College,00GFNR,College,00GFNR,College
00GFNS,Cuckoo Oak,00GFNS,Cuckoo Oak,00GFNS,Cuckoo Oak
00GFNT,Dawley Magna,00GFNT,Dawley Magna,00GFNT,Dawley Magna
00GFNU,Donnington,00GFNU,Donnington,00GFNU,Donnington
00GFNW,Dothill,00GFNW,Dothill,00GFNW,Dothill
00GFNX,Edgmond,00GFNX,Edgmond,00GFNX,Edgmond
00GFNY,Ercall,00GFNY,Ercall,00GFNY,Ercall
00GFNZ,Ercall Magna,00GFNZ,Ercall Magna,00GFNZ,Ercall Magna
00GFPA,Hadley and Leegomery,00GFPA,Hadley and Leegomery,00GFPA,Hadley and Leegomery
00GFPB,Haygate,00GFPB,Haygate,00GFPB,Haygate
00GFPC,Horsehay and Lightmoor,00GFPC,Horsehay and Lightmoor,00GFPC,Horsehay and Lightmoor
00GFPD,Ironbridge Gorge,00GFPD,Ironbridge Gorge,00GFPD,Ironbridge Gorge
00GFPE,Ketley and Oakengates,00GFPE,Ketley and Oakengates,00GFPE,Ketley and Oakengates
00GFPF,Lawley and Overdale,00GFPF,Lawley and Overdale,00GFPF,Lawley and Overdale
00GFPG,Madeley,00GFPG,Madeley,00GFPG,Madeley
00GFPH,Malinslee,00GFPH,Malinslee,00GFPH,Malinslee
00GFPJ,Muxton,00GFPJ,Muxton,00GFPJ,Muxton
00GFPK,Newport East,00GFPK,Newport East,00GFPK,Newport East
00GFPL,Newport North,00GFPL,Newport North,00GFPL,Newport North
00GFPM,Newport South,00GFPM,Newport South,00GFPM,Newport South
00GFPN,Newport West,00GFPN,Newport West,00GFPN,Newport West
00GFPP,Park,00GFPP,Park,00GFPP,Park
00GFPQ,Priorslee,00GFPQ,Priorslee,00GFPQ,Priorslee
00GFPR,St Georges,00GFPR,St Georges,00GFPR,St Georges
00GFPS,Shawbirch,00GFPS,Shawbirch,00GFPS,Shawbirch
00GFPT,The Nedge,00GFPT,The Nedge,00GFPT,The Nedge
00GFPU,Woodside,00GFPU,Woodside,00GFPU,Woodside
00GFPW,Wrockwardine,00GFPW,Wrockwardine,00GFPW,Wrockwardine
00GFPX,Wrockwardine Wood and Trench,00GFPX,Wrockwardine Wood and Trench,00GFPX,Wrockwardine Wood and Trench
00GLMX,Abbey Green,00GLMX,Abbey Green,00GLMX,Abbey Green
00GLMY,Bentilee and Townsend,00GLMY,Bentilee and Townsend,00GLMY,Bentilee and Townsend
